Genotype,Envir,Management,Row,Position,Fruit_number,R,P,Fruit_number_spats_residuals,Fruit_number_spats_geno_pred_values,Fruit_number_spats_adj_pheno
GaPi_035,BEL_2021_2,2,14,72,34,14,72,4.59558515808273,30.8616686337468,35.4572537918296
GaPi_038,BEL_2021_2,2,12,33,8,12,33,-13.7193154703707,22.5436456348393,8.82433016446863
I_BB002,BEL_2021_2,2,12,86,73,12,86,33.6909391747405,44.0758175271307,77.7667567018712
I_BB012,BEL_2021_2,2,12,94,36,12,94,8.65589827738791,32.7057287569383,41.3616270343262
I_BB028,BEL_2021_2,2,12,79,13,12,79,-4.42406986236691,21.6727219816616,17.2486521192947
I_BB028,BEL_2021_2,2,14,40,14,14,40,-11.2128743720762,21.6727219816616,10.4598476095853
I_BB039,BEL_2021_2,2,12,15,41,12,15,10.3068398058265,30.1761187920064,40.4829585978329
I_BB039,BEL_2021_2,2,12,102,17,12,102,-7.22072116748965,30.1761187920064,22.9553976245168
I_CC003,BEL_2021_2,2,12,24,63,12,24,23.6404234802886,39.5112052262891,63.1516287065777
I_CC059,BEL_2021_2,2,12,47,68,12,47,35.5780177330365,34.2867458908585,69.8647636238951
I_CC059,BEL_2021_2,2,13,91,10,13,91,-23.4409831684042,34.2867458908585,10.8457627224543
I_CC067,BEL_2021_2,2,15,88,11,15,88,-12.1185946301526,23.2706401751799,11.1520455450273
I_J030,BEL_2021_2,2,12,62,7,12,62,-12.9214082967588,22.9060287214713,9.98462042471246
I_J033,BEL_2021_2,2,15,35,12,15,35,-10.0487781074164,21.0668482080874,11.018070100671
I_J033,BEL_2021_2,2,14,70,13,14,70,-6.92219922093053,21.0668482080874,14.1446489871569
I_J046,BEL_2021_2,2,12,81,11,12,81,-9.19944386640042,24.5964220444216,15.3969781780212
I_J056,BEL_2021_2,2,15,67,43,15,67,7.39713997616018,35.3069594467137,42.7040994228739
I_J056,BEL_2021_2,2,13,3,44,13,3,6.98623484236932,35.3069594467137,42.293194289083
I_J063,BEL_2021_2,2,15,34,16,15,34,-9.47524241184078,24.4711634535847,14.9959210417439
I_M056,BEL_2021_2,2,15,12,3,15,12,-18.7424185260708,20.2623181195655,1.51989959349477
I_W046,BEL_2021_2,2,15,84,39,15,84,8.80668513990008,30.2597240719478,39.0664092118479
I_W046,BEL_2021_2,2,14,16,32,14,16,-5.53648160610891,30.2597240719478,24.7232424658389
I_W049,BEL_2021_2,2,12,70,45,12,70,19.2675312687124,29.3111911254319,48.5787223941444
I_W049,BEL_2021_2,2,13,35,12,13,35,-18.0858392310466,29.3111911254319,11.2253518943854
I_W050,BEL_2021_2,2,13,38,69,13,38,14.795443118057,53.5148250998182,68.3102682178752
I_W050,BEL_2021_2,2,15,90,93,15,90,39.6786179292361,53.5148250998182,93.1934430290543
JoPr_1990_102_097,BEL_2021_2,2,14,6,62,14,6,9.51915928314535,43.6481100108797,53.1672692940251
JoPr_1990_102_097,BEL_2021_2,2,12,101,61,12,101,23.2300392088381,43.6481100108797,66.8781492197178
JoPr_1990_102_202,BEL_2021_2,2,14,71,28,14,71,0.361950367607172,28.9388915316182,29.3008418992254
JoPr_1990_102_232,BEL_2021_2,2,13,5,10,13,5,-9.41206077703374,17.7638127033326,8.3517519262988
JoPr_1990_102_232,BEL_2021_2,2,13,94,2,13,94,-14.8316503547404,17.7638127033326,2.9321623485922
JoPr_1990_102_242,BEL_2021_2,2,12,36,54,12,36,18.0663156170186,36.9796295248606,55.0459451418792
JoPr_1990_102_257,BEL_2021_2,2,14,85,49,14,85,10.1917105291884,42.295930126535,52.4876406557234
JoPr_1990_102_257,BEL_2021_2,2,13,23,63,13,23,19.5802131684335,42.295930126535,61.8761432949685
Modi,BEL_2021_2,2,14,44,71,14,44,34.8101859349867,33.2731180299907,68.0833039649774
Modi,BEL_2021_2,2,13,81,21,13,81,-11.7206389070693,33.2731180299907,21.5524791229214
Modi,BEL_2021_2,2,14,12,61,14,12,19.8277035063036,33.2731180299907,53.1008215362943
