Genotype,Envir,Management,Row,Position,Flowering_full,R,P,Flowering_full_spats_residuals,Flowering_full_spats_geno_pred_values,Flowering_full_spats_adj_pheno
112,ESP_2019_1,1,5,71,93,5,71,0.0257291352586435,93.3323725493615,93.3581016846201
1123,ESP_2019_1,1,1,33,98,1,33,1.60581752309962,95.2981147460239,96.9039322691235
1123,ESP_2019_1,1,10,130,94,10,130,-2.38678060719738,95.2981147460239,92.9113341388265
1123,ESP_2019_1,1,13,88,101,13,88,6.14274505685231,95.2981147460239,101.440859802876
1123,ESP_2019_1,1,7,81,93,7,81,-2.29288607405294,95.2981147460239,93.0052286719709
1123,ESP_2019_1,1,12,28,94,12,28,-1.07712712025203,95.2981147460239,94.2209876257718
1125,ESP_2019_1,1,9,44,87,9,44,-1.71531622679206,89.413028516887,87.6977122900949
1125,ESP_2019_1,1,9,76,87,9,76,-2.17889172646035,89.413028516887,87.2341367904266
114,ESP_2019_1,1,7,52,87,7,52,-1.55459240189838,89.0778404928173,87.5232480909189
114,ESP_2019_1,1,3,91,86,3,91,-2.67485429444173,89.0778404928173,86.4029861983756
118,ESP_2019_1,1,11,12,94,11,12,0.450755263551216,93.7186988653161,94.1694541288673
118,ESP_2019_1,1,10,116,94,10,116,-0.344355987908159,93.7186988653161,93.3743428774079
118,ESP_2019_1,1,9,54,93,9,54,0.0180731278289699,93.7186988653161,93.7367719931451
118,ESP_2019_1,1,13,112,94,13,112,0.287641504756593,93.7186988653161,94.0063403700727
12_196,ESP_2019_1,1,5,122,93,5,122,-0.909345561314183,92.9031925273416,91.9938469660274
12_196,ESP_2019_1,1,6,39,93,6,39,0.505829733123704,92.9031925273416,93.4090222604653
12_197,ESP_2019_1,1,1,17,92,1,17,-2.00794886063939,92.2682002451942,90.2602513845548
12_197,ESP_2019_1,1,5,81,93,5,81,0.969344666364137,92.2682002451942,93.2375449115584
12_204,ESP_2019_1,1,4,128,92,4,128,-1.46743443838267,92.7230212921146,91.2555868537319
12_204,ESP_2019_1,1,8,51,93,8,51,0.883720112331972,92.7230212921146,93.6067414044465
12_205,ESP_2019_1,1,1,81,92,1,81,-2.12389632535076,94.5751929388272,92.4512966134765
12_205,ESP_2019_1,1,2,43,98,2,43,3.39263390759874,94.5751929388272,97.967826846426
12_B006,ESP_2019_1,1,4,117,98,4,117,4.94922609272597,92.3080217117664,97.2572478044924
12_B006,ESP_2019_1,1,3,55,86,3,55,-5.94800279483843,92.3080217117664,86.360018916928
12_B020,ESP_2019_1,1,5,2,86,5,2,-4.37235480220417,91.2110438649475,86.8386890627433
12_B020,ESP_2019_1,1,8,71,93,8,71,2.27643426393131,91.2110438649475,93.4874781288788
12_B023,ESP_2019_1,1,2,13,92,2,13,-3.01303927847164,94.1889084291435,91.1758691506719
12_B023,ESP_2019_1,1,5,86,98,5,86,3.89543390034683,94.1889084291435,98.0843423294904
12_B057,ESP_2019_1,1,1,52,92,1,52,1.83551340904565,89.7595193129168,91.5950327219625
12_B057,ESP_2019_1,1,13,118,87,13,118,-2.88557943889673,89.7595193129168,86.8739398740201
12_B057,ESP_2019_1,1,12,36,87,12,36,-2.49759869807309,89.7595193129168,87.2619206148437
12_B061,ESP_2019_1,1,4,64,92,4,64,1.50252218067918,90.69501312947,92.1975353101492
12_B061,ESP_2019_1,1,13,57,87,13,57,-3.00409264786518,90.69501312947,87.6909204816049
12_B061,ESP_2019_1,1,9,94,93,9,94,2.21086724253506,90.69501312947,92.9058803720051
12_B061,ESP_2019_1,1,12,71,87,12,71,-3.32132613235501,90.69501312947,87.373686997115
12_B064,ESP_2019_1,1,8,6,93,8,6,1.03242026766195,93.1288594503945,94.1612797180564
12_B064,ESP_2019_1,1,5,128,93,5,128,-1.21023502598084,93.1288594503945,91.9186244244136
12_B074,ESP_2019_1,1,2,75,92,2,75,-0.42488700740779,93.1075263838393,92.6826393764316
12_B074,ESP_2019_1,1,6,55,93,6,55,0.225735954518228,93.1075263838393,93.3332623383576
12_B081,ESP_2019_1,1,6,28,93,6,28,0.853707336572001,92.6604619913455,93.5141693279175
12_B081,ESP_2019_1,1,4,129,92,4,129,-1.4999904295603,92.6604619913455,91.1604715617852
12_B093,ESP_2019_1,1,10,126,101,10,126,3.23439081884048,96.7395898996195,99.9739807184599
12_B093,ESP_2019_1,1,11,27,101,11,27,4.48028709178456,96.7395898996195,101.219876991404
12_B093,ESP_2019_1,1,5,98,93,5,98,-4.00312180560488,96.7395898996195,92.7364680940146
12_B093,ESP_2019_1,1,1,22,107,1,22,8.7767103895999,96.7395898996195,105.516300289219
12_B093,ESP_2019_1,1,13,68,87,13,68,-9.05480444558064,96.7395898996195,87.6847854540388
12_B095,ESP_2019_1,1,2,98,98,2,98,-1.35736705695203,100.096295300695,98.7389282437429
12_B095,ESP_2019_1,1,4,49,108,4,49,8.1480424273679,100.096295300695,108.244337728063
12_E003,ESP_2019_1,1,12,15,87,12,15,-1.97216794386553,88.9865118878822,87.0143439440166
12_E003,ESP_2019_1,1,6,75,86,6,75,-2.98350410299513,88.9865118878822,86.0030077848871
12_E003,ESP_2019_1,1,10,25,87,10,25,-1.40833594411667,88.9865118878822,87.5781759437655
12_E003,ESP_2019_1,1,12,76,94,12,76,5.27419334898285,88.9865118878822,94.260705236865
12_E003,ESP_2019_1,1,3,25,86,3,25,-3.2309744786802,88.9865118878822,85.755537409202
12_E014,ESP_2019_1,1,5,16,92,5,16,2.01539360834799,90.6384685752546,92.6538621836026
12_E014,ESP_2019_1,1,6,70,86,6,70,-4.68397607561577,90.6384685752546,85.9544924996388
12_E015,ESP_2019_1,1,2,129,92,2,129,0.0564592052009658,92.7345875839266,92.7910467891276
12_E015,ESP_2019_1,1,2,49,92,2,49,-0.628605489284794,92.7345875839266,92.1059820946418
12_E017,ESP_2019_1,1,4,32,92,4,32,1.43147268873912,90.7818069689749,92.213279657714
12_E017,ESP_2019_1,1,2,94,86,2,94,-3.95669507301946,90.7818069689749,86.8251118959555
12_E024,ESP_2019_1,1,7,110,93,7,110,-1.14813648765271,93.1828974227028,92.0347609350501
12_E024,ESP_2019_1,1,8,5,93,8,5,1.02436787840482,93.1828974227028,94.2072653011076
12_E025,ESP_2019_1,1,7,14,93,7,14,0.561814783980935,93.2891794073732,93.8509941913541
12_E025,ESP_2019_1,1,5,101,93,5,101,-0.579285326486243,93.2891794073732,92.7098940808869
12_E034,ESP_2019_1,1,5,78,93,5,78,0.0174450378191153,93.3240897052417,93.3415347430608
12_E035,ESP_2019_1,1,13,54,87,13,54,-4.92191298463035,92.6076086830921,87.6856956984617
12_E035,ESP_2019_1,1,12,110,87,12,110,-5.85134252061789,92.6076086830921,86.7562661624742
12_E035,ESP_2019_1,1,8,117,101,8,117,7.23384179788739,92.6076086830921,99.8414504809795
12_E035,ESP_2019_1,1,10,17,94,10,17,1.96590455214465,92.6076086830921,94.5735132352367
12_E035,ESP_2019_1,1,7,53,93,7,53,0.874364756470229,92.6076086830921,93.4819734395623
12_E039,ESP_2019_1,1,2,9,86,2,9,-5.06728663240209,90.1988544582252,85.1315678258231
12_E039,ESP_2019_1,1,8,114,93,8,114,1.95902352783929,90.1988544582252,92.1578779860645
12_E043,ESP_2019_1,1,4,65,86,4,65,-1.63740657838083,87.9103284671117,86.2729218887309
12_E043,ESP_2019_1,1,10,81,87,10,81,-0.523893980052932,87.9103284671117,87.3864344870588
