Genotype,Envir,Management,Row,Position,Flowering_begin,R,P,Flowering_begin_spats_residuals,Flowering_begin_spats_geno_pred_values,Flowering_begin_spats_adj_pheno
12_I064,BEL_2018_1,1,19,38,110,19,38,-0.0366732022427811,109.944589888328,109.907916686085
12_J001,BEL_2018_1,1,19,50,110,19,50,-0.357890484553408,110.342177502225,109.984287017671
12_J001,BEL_2018_1,1,18,115,111,18,115,0.746354849961037,110.342177502225,111.088532352186
12_J004,BEL_2018_1,1,26,85,112,26,85,0.813853395416857,111.314839204942,112.128692600359
12_J004,BEL_2018_1,1,23,32,112,23,32,0.614671112678124,111.314839204942,111.92951031762
12_J011,BEL_2018_1,1,25,9,110,25,9,0.0220244519773445,109.999483791052,110.021508243029
12_J013,BEL_2018_1,1,26,23,109,26,23,-0.652736841976505,109.710926583999,109.058189742022
12_J013,BEL_2018_1,1,21,85,110,21,85,0.366209153880703,109.710926583999,110.07713573788
12_J015,BEL_2018_1,1,19,82,111,19,82,0.502509452920123,110.591354042274,111.093863495194
12_J015,BEL_2018_1,1,17,28,111,17,28,0.152397589396003,110.591354042274,110.74375163167
12_J019,BEL_2018_1,1,22,25,111,22,25,0.253922742983761,110.665050129025,110.918972872009
12_J019,BEL_2018_1,1,20,108,111,20,108,0.479786993308537,110.665050129025,111.144837122333
12_J027,BEL_2018_1,1,18,87,111,18,87,0.752002932538687,110.307991939119,111.059994871658
12_J027,BEL_2018_1,1,22,5,110,22,5,-0.4000929431717,110.307991939119,109.907898995947
12_J028,BEL_2018_1,1,21,29,111,21,29,0.574223147269521,110.338268686726,110.912491833996
12_J028,BEL_2018_1,1,26,77,110,26,77,-0.189938450079026,110.338268686726,110.148330236647
12_J031,BEL_2018_1,1,25,106,110,25,106,0.0844726934460311,110.057885233801,110.142357927247
12_K001,BEL_2018_1,1,19,18,111,19,18,0.450232043762512,110.318366953531,110.768598997294
12_K001,BEL_2018_1,1,23,114,110,23,114,-0.0872281263220174,110.318366953531,110.231138827209
12_K010,BEL_2018_1,1,17,2,110,17,2,-0.305385182720357,109.954983767097,109.649598584376
12_K010,BEL_2018_1,1,24,117,110,24,117,0.279826080071743,109.954983767097,110.234809847169
12_K016,BEL_2018_1,1,18,66,110,18,66,-0.188757728884937,110.214785427088,110.026027698204
12_K016,BEL_2018_1,1,18,4,111,18,4,0.441002667257436,110.214785427088,110.655788094346
12_K018,BEL_2018_1,1,19,109,111,19,109,0.517071686910924,110.577724952369,111.09479663928
12_K018,BEL_2018_1,1,19,8,111,19,8,0.12326186787908,110.577724952369,110.700986820248
12_K024,BEL_2018_1,1,26,69,110,26,69,0.130815448453248,110.030555780937,110.16137122939
12_K024,BEL_2018_1,1,24,42,110,24,42,-0.0755659418207983,110.030555780937,109.954989839116
12_K045,BEL_2018_1,1,20,26,110,20,26,-0.0509526914052572,109.931235744974,109.880283053568
12_K049,BEL_2018_1,1,19,45,110,19,45,-0.0132518290676984,109.966493499261,109.953241670193
12_L001,BEL_2018_1,1,19,70,110,19,70,0.050014437281078,110.025659956878,110.075674394159
12_L005,BEL_2018_1,1,23,95,109,23,95,0.130219801298509,109.032427484122,109.16264728542
12_L005,BEL_2018_1,1,17,58,108,17,58,-1.14226168272596,109.032427484122,107.890165801396
12_L012,BEL_2018_1,1,17,31,110,17,31,-0.20168397375015,109.959932402351,109.758248428601
12_L012,BEL_2018_1,1,26,80,110,26,80,0.181416411083063,109.959932402351,110.141348813434
12_L013,BEL_2018_1,1,26,24,110,26,24,0.0426353258929879,110.018759029948,110.061394355841
12_L018,BEL_2018_1,1,26,115,112,26,115,1.11316768525899,111.019918275205,112.133085960464
12_L021,BEL_2018_1,1,24,54,110,24,54,-0.0112399263035883,109.968375025807,109.957135099504
12_N021,BEL_2018_1,1,24,64,110,24,64,-0.382914032436318,110.363372156626,109.98045812419
12_N021,BEL_2018_1,1,26,56,111,26,56,0.794041688913993,110.363372156626,111.15741384554
12_N034,BEL_2018_1,1,23,57,110,23,57,-0.413813993884403,110.324503878771,109.910689884886
12_N034,BEL_2018_1,1,26,97,111,26,97,0.783380081216791,110.324503878771,111.107883959987
12_N039,BEL_2018_1,1,21,111,110,21,111,0.233243408781831,109.95767592759,110.190919336372
12_N039,BEL_2018_1,1,17,18,110,17,18,-0.25592380363409,109.95767592759,109.701752123956
12_N041,BEL_2018_1,1,23,92,109,23,92,-0.127944365318626,109.2714292634,109.143484898081
12_N041,BEL_2018_1,1,18,1,109,18,1,-0.628534637500735,109.2714292634,108.642894625899
12_N046,BEL_2018_1,1,23,88,110,23,88,0.421935632298059,109.692358404893,110.114294037191
12_N046,BEL_2018_1,1,23,8,109,23,8,-0.728318140374952,109.692358404893,108.964040264518
12_N052,BEL_2018_1,1,21,72,110,21,72,0.0393891253722671,109.967738873112,110.007127998484
12_N052,BEL_2018_1,1,23,38,110,23,38,-0.0513092851641659,109.967738873112,109.916429587948
12_N062,BEL_2018_1,1,19,7,110,19,7,0.103364350499064,109.591330827794,109.694695178293
12_N062,BEL_2018_1,1,18,108,109,18,108,-0.517774918033894,109.591330827794,109.07355590976
12_N063,BEL_2018_1,1,19,83,110,19,83,0.409106517051427,109.685402255094,110.094508772145
12_N063,BEL_2018_1,1,24,57,109,24,57,-0.722927185932633,109.685402255094,108.962475069161
12_O011,BEL_2018_1,1,21,34,110,21,34,0.262144921936809,109.661729618634,109.923874540571
12_O011,BEL_2018_1,1,22,82,109,22,82,-0.601278570228416,109.661729618634,109.060451048406
12_O014,BEL_2018_1,1,17,109,111,17,109,0.566427193659933,110.508607904125,111.075035097785
12_O017,BEL_2018_1,1,22,4,111,22,4,0.479227976244019,110.427059409181,110.906287385425
12_O026,BEL_2018_1,1,26,60,110,26,60,-0.155306587275234,110.31719008531,110.161883498035
12_O026,BEL_2018_1,1,18,35,111,18,35,0.517052088016115,110.31719008531,110.834242173326
12_O056,BEL_2018_1,1,17,49,110,17,49,0.201369000203016,109.648175608901,109.849544609105
12_O056,BEL_2018_1,1,25,95,109,25,95,-0.554995853333622,109.648175608901,109.093179755568
12_O061,BEL_2018_1,1,20,43,110,20,43,-0.0351164319683903,109.999193442359,109.96407701039
12_O061,BEL_2018_1,1,19,64,110,19,64,0.0568304161830895,109.999193442359,110.056023858542
12_O063,BEL_2018_1,1,18,103,111,18,103,0.727231346312976,110.33938418473,111.066615531043
12_O063,BEL_2018_1,1,24,14,110,24,14,-0.341753855153897,110.33938418473,109.997630329576
12_O072,BEL_2018_1,1,23,66,110,23,66,-0.0101644972456256,109.958142499975,109.94797800273
12_O072,BEL_2018_1,1,21,45,110,21,45,-0.0120169951207032,109.958142499975,109.946125504854
12_O074,BEL_2018_1,1,18,45,111,18,45,0.903200256678119,110.001039283637,110.904239540315
12_O074,BEL_2018_1,1,24,94,109,24,94,-0.879512527699603,110.001039283637,109.121526755937
12_P001,BEL_2018_1,1,20,35,110,20,35,-0.1102778582448,110.037530471423,109.927252613178
12_P001,BEL_2018_1,1,22,107,110,22,107,0.172985351104018,110.037530471423,110.210515822527
12_P002,BEL_2018_1,1,17,94,111,17,94,0.439950030289026,110.566176259048,111.006126289337
12_P002,BEL_2018_1,1,19,16,111,19,16,0.18803459003675,110.566176259048,110.754210849085
12_P003,BEL_2018_1,1,24,31,109,24,31,-1.0379465915276,110.009409848848,108.97146325732
12_P003,BEL_2018_1,1,25,90,111,25,90,1.07058490550729,110.009409848848,111.079994754355
12_P018,BEL_2018_1,1,25,23,112,25,23,0.675398918545696,111.350782957758,112.026181876303
12_P018,BEL_2018_1,1,26,118,112,26,118,0.79155998516498,111.350782957758,112.142342942923
12_P025,BEL_2018_1,1,18,7,110,18,7,0.0900091011594526,109.579086731032,109.669095832191
12_P025,BEL_2018_1,1,18,95,109,18,95,-0.517512193042137,109.579086731032,109.06157453799
12_P027,BEL_2018_1,1,20,23,110,20,23,-0.0675281615062744,109.93068824565,109.863160084143
12_P027,BEL_2018_1,1,17,73,110,17,73,0.01599003302303,109.93068824565,109.946678278673
12_P029,BEL_2018_1,1,18,3,110,18,3,-0.246931893022463,109.898473273254,109.651541380232
12_P029,BEL_2018_1,1,20,74,110,20,74,0.1609465269308,109.898473273254,110.059419800185
12_P034,BEL_2018_1,1,21,68,109,21,68,-0.696268151274083,109.688648789672,108.992380638398
12_P034,BEL_2018_1,1,26,28,110,26,28,0.38591897839882,109.688648789672,110.07456776807
12_P055,BEL_2018_1,1,25,69,109,25,69,-0.27033146389482,109.335268045083,109.064936581189
12_P055,BEL_2018_1,1,20,33,109,20,33,-0.417885190153569,109.335268045083,108.91738285493
12_P056,BEL_2018_1,1,22,85,110,22,85,-0.171902678876975,110.256102698613,110.084200019736
12_P056,BEL_2018_1,1,18,18,111,18,18,0.468327877659732,110.256102698613,110.724430576273
1218,BEL_2018_1,1,19,48,110,19,48,-0.00350596339833942,109.975607809009,109.97210184561
1236,BEL_2018_1,1,25,116,108,25,116,-0.782976309017911,108.981344602867,108.198368293849
1236,BEL_2018_1,1,18,13,109,18,13,-0.283688128862806,108.981344602867,108.697656474004
13_10,BEL_2018_1,1,23,17,109,23,17,-0.405874454522561,109.362318152143,108.95644369762
13_10,BEL_2018_1,1,26,103,109,26,103,-0.25341771516571,109.362318152143,109.108900436977
13_109,BEL_2018_1,1,19,102,109,19,102,0.162730668028985,108.934987384837,109.097718052866
13_109,BEL_2018_1,1,17,4,108,17,4,-1.27896454476469,108.934987384837,107.656022840072
13_32,BEL_2018_1,1,25,98,109,25,98,-0.278712896197632,109.383173047507,109.10446015131
13_32,BEL_2018_1,1,25,15,109,25,15,-0.35827928430831,109.383173047507,109.024893763199
13_35,BEL_2018_1,1,26,70,107,26,70,-1.87752107160554,109.037985416687,107.160464345082
13_35,BEL_2018_1,1,22,43,110,22,43,0.87142224738011,109.037985416687,109.909407664067
13_38,BEL_2018_1,1,22,62,109,22,62,-0.425650858064131,109.361055995247,108.935405137183
13_38,BEL_2018_1,1,26,43,109,26,43,-0.234990926888145,109.361055995247,109.126065068359
130,BEL_2018_1,1,22,27,110,22,27,-0.0874556300499023,110.005678719945,109.918223089895
130,BEL_2018_1,1,23,89,110,23,89,0.116104274807128,110.005678719945,110.121782994752
131,BEL_2018_1,1,19,90,111,19,90,-0.156073600650615,111.253882011373,111.097808410722
131,BEL_2018_1,1,17,34,113,17,34,1.51941702136058,111.253882011373,112.773299032733
133,BEL_2018_1,1,20,22,111,20,22,0.201945076887242,110.655330467386,110.857275544273
133,BEL_2018_1,1,21,104,111,21,104,0.521371495324914,110.655330467386,111.176701962711
135,BEL_2018_1,1,20,30,110,20,30,-0.0863475238545135,109.988313439786,109.901965915932
135,BEL_2018_1,1,21,102,110,21,102,0.181514573953464,109.988313439786,110.16982801374
135,BEL_2018_1,1,22,65,110,22,65,-0.0406437555063661,109.988313439786,109.94766968428
135,BEL_2018_1,1,23,25,110,23,25,-0.0444432186485102,109.988313439786,109.943870221138
1377,BEL_2018_1,1,18,44,110,18,44,0.589724200546399,109.307526089278,109.897250289824
1377,BEL_2018_1,1,17,92,108,17,92,-1.30760512782882,109.307526089278,107.999920961449
140,BEL_2018_1,1,22,32,110,22,32,-0.0943891279411986,110.009832679121,109.91544355118
140,BEL_2018_1,1,22,92,110,22,92,0.127479571282422,110.009832679121,110.137312250403
141,BEL_2018_1,1,21,31,110,21,31,-0.0321468259309938,109.949320218818,109.917173392887
141,BEL_2018_1,1,17,74,110,17,74,0.000531731960634829,109.949320218818,109.949851950779
143,BEL_2018_1,1,23,26,110,23,26,-0.0631669339846894,110.005128864614,109.941961930629
143,BEL_2018_1,1,19,86,110,19,86,0.0912276224029682,110.005128864614,110.096356487017
1446,BEL_2018_1,1,24,28,112,24,28,0.348693701800684,111.628350861876,111.977044563677
1446,BEL_2018_1,1,20,68,113,20,68,1.41506655962411,111.628350861876,113.0434174215
1478,BEL_2018_1,1,22,30,110,22,30,-0.0788562861665128,109.995577555131,109.916721268964
1478,BEL_2018_1,1,19,114,110,19,114,0.0967038282502415,109.995577555131,110.092281383381
1481,BEL_2018_1,1,19,80,110,19,80,0.404893358041818,109.687242552896,110.092135910938
1481,BEL_2018_1,1,18,55,109,18,55,-0.716746209757631,109.687242552896,108.970496343139
149,BEL_2018_1,1,19,3,111,19,3,0.0884001762061075,110.58220795473,110.670608130936
149,BEL_2018_1,1,26,81,111,26,81,0.55672702067146,110.58220795473,111.138934975401
15,BEL_2018_1,1,22,93,111,22,93,-0.462372124231564,111.606534492105,111.144162367874
15,BEL_2018_1,1,17,41,114,17,41,2.20280429882688,111.606534492105,113.809338790932
152,BEL_2018_1,1,25,20,109,25,20,-0.705744979015691,109.73181788435,109.026072905334
152,BEL_2018_1,1,21,103,110,21,103,0.441556207691789,109.73181788435,110.173374092042
163,BEL_2018_1,1,22,106,109,22,106,-0.483623020502421,109.69131734935,109.207694328848
163,BEL_2018_1,1,19,32,110,19,32,0.176127319242383,109.69131734935,109.867444668592
167,BEL_2018_1,1,18,64,109,18,64,-1.27603118099189,110.293672387227,109.017641206235
167,BEL_2018_1,1,23,55,112,23,55,1.61262937681126,110.293672387227,111.906301764039
17,BEL_2018_1,1,18,78,110,18,78,0.0705857747169034,109.984201426334,110.054787201051
17,BEL_2018_1,1,22,24,110,22,24,-0.0649026450967796,109.984201426334,109.919298781237
170,BEL_2018_1,1,26,14,113,26,14,0.741920280088181,112.29061800585,113.032538285939
170,BEL_2018_1,1,17,98,114,17,98,1.72999746130594,112.29061800585,114.020615467156
173,BEL_2018_1,1,17,113,110,17,113,-0.256990698931844,110.3582471605,110.101256461568
173,BEL_2018_1,1,26,9,111,26,9,0.662638234019113,110.3582471605,111.020885394519
1870,BEL_2018_1,1,21,86,110,21,86,0.0415338454972982,110.041959736769,110.083493582267
1870,BEL_2018_1,1,26,26,110,26,26,0.025909828847972,110.041959736769,110.067869565617
1872,BEL_2018_1,1,18,69,107,18,69,-1.64890735058825,108.685197848218,107.03629049763
1872,BEL_2018_1,1,23,21,109,23,21,0.265575324134176,108.685197848218,108.950773172352
1889,BEL_2018_1,1,18,80,110,18,80,0.152648231165017,109.904076552773,110.056724783938
1889,BEL_2018_1,1,17,9,110,17,9,-0.232642050885048,109.904076552773,109.671434501888
1893,BEL_2018_1,1,22,54,110,22,54,0.243798211912932,109.671008041438,109.914806253351
1893,BEL_2018_1,1,19,101,109,19,101,-0.573010509627281,109.671008041438,109.097997531811
1900,BEL_2018_1,1,22,22,112,22,22,0.903368099912811,111.0163031044,111.919671204313
1900,BEL_2018_1,1,22,113,111,22,113,0.205933909281185,111.0163031044,111.222237013681
1901,BEL_2018_1,1,20,4,109,20,4,-0.211031155807063,108.953975318426,108.742944162619
