Genotype,Envir,Management,Row,Position,Weight_sample,R,P,Weight_sample_spats_residuals,Weight_sample_spats_geno_pred_values,Weight_sample_spats_adj_pheno
12_L012,BEL_2019_1,1,17,31,0.7,17,31,-0.803628368212045,1.50990327931023,0.706274911098183
12_L013,BEL_2019_1,1,26,24,1.66,26,24,-0.520263163708443,2.11327107515256,1.59300791144412
12_L013,BEL_2019_1,1,23,106,2.38,23,106,0.214140271837546,2.11327107515256,2.32741134699011
12_L018,BEL_2019_1,1,26,115,3.3,26,115,0.351030142236874,2.81372703720248,3.16475717943936
12_L018,BEL_2019_1,1,19,11,2.66,19,11,-0.0795937419861961,2.81372703720248,2.73413329521629
12_L021,BEL_2019_1,1,24,54,1.9,24,54,-0.443824812260592,2.09032806859475,1.64650325633416
12_L021,BEL_2019_1,1,20,105,2.1,20,105,0.118784319077709,2.09032806859475,2.20911238767246
12_N021,BEL_2019_1,1,26,56,1.92,26,56,-0.458911472260372,2.10854908291786,1.64963761065749
12_N021,BEL_2019_1,1,24,64,2.5,24,64,0.148895072959697,2.10854908291786,2.25744415587756
12_N034,BEL_2019_1,1,26,97,4.04,26,97,0.662510603325761,3.17512973614013,3.8376403394659
12_N034,BEL_2019_1,1,23,57,3.32,23,57,-0.0930804700238492,3.17512973614013,3.08204926611629
12_N039,BEL_2019_1,1,21,111,3.92,21,111,0.571538509431402,3.43487743537135,4.00641594480276
12_N039,BEL_2019_1,1,17,18,3.56,17,18,0.212065969476972,3.43487743537135,3.64694340484833
12_N041,BEL_2019_1,1,18,1,2.64,18,1,0.0829440950853977,2.69368147928475,2.77662557437015
12_N041,BEL_2019_1,1,23,92,2.92,23,92,0.0895090268298344,2.69368147928475,2.78319050611458
12_N046,BEL_2019_1,1,23,8,1.32,23,8,-0.508494244880323,1.86783788292936,1.35934363804904
12_N052,BEL_2019_1,1,21,72,2.9,21,72,0.103626420327754,2.66186989070201,2.76549631102977
12_N052,BEL_2019_1,1,23,38,2.92,23,38,0.0425965321285164,2.66186989070201,2.70446642283053
12_N054,BEL_2019_1,1,24,21,2.46,24,21,0.17844878443228,2.2222321396496,2.40068092408188
12_N054,BEL_2019_1,1,22,60,2.04,22,60,-0.394728090568609,2.2222321396496,1.82750404908099
12_N057,BEL_2019_1,1,26,71,4.3,26,71,0.701075921030466,3.33478793600131,4.03586385703177
12_N062,BEL_2019_1,1,18,108,2.84,18,108,0.0699515820815719,3.04033482760631,3.11028640968788
12_N062,BEL_2019_1,1,19,7,3.34,19,7,0.388333731028435,3.04033482760631,3.42866855863475
12_N063,BEL_2019_1,1,19,83,3.28,19,83,0.843388775381775,2.45212115950234,3.29550993488411
12_N063,BEL_2019_1,1,24,57,1.84,24,57,-0.870113638746143,2.45212115950234,1.58200752075619
12_O010,BEL_2019_1,1,19,107,1.24,19,107,-0.307911871513102,1.74312210145465,1.43521022994155
12_O010,BEL_2019_1,1,20,19,1.44,20,19,-0.303416473392756,1.74312210145465,1.43970562806189
