Genotype,Envir,Management,Row,Position,Weight_sample,R,P,Weight_sample_spats_residuals,Weight_sample_spats_geno_pred_values,Weight_sample_spats_adj_pheno
12_L018,FRA_2020_1,1,10,25,3.44,10,25,0.06130107635183,3.16254106794386,3.22384214429569
12_L018,FRA_2020_1,1,14,46,3.04,14,46,-0.103160485215394,3.16254106794386,3.05938058272846
12_L021,FRA_2020_1,1,14,13,0.7,14,13,-1.02298464713633,1.76723355460913,0.744248907472802
12_L021,FRA_2020_1,1,10,47,2.26,10,47,0.262472078433701,1.76723355460913,2.02970563304283
12_N021,FRA_2020_1,1,12,60,2.6,12,60,-0.205124238916194,2.8455527670968,2.6404285281806
12_N034,FRA_2020_1,1,2,8,4.52,2,8,0.431768753762481,4.37662212674626,4.80839088050874
12_N034,FRA_2020_1,1,8,66,4.66,8,66,0.151684308546604,4.37662212674626,4.52830643529286
12_N039,FRA_2020_1,1,14,11,4.66,14,11,0.484438534579933,4.18437957889366,4.6688181134736
12_N041,FRA_2020_1,1,1,70,2.94,1,70,-0.0937583054676039,3.28438902879017,3.19063072332257
12_N041,FRA_2020_1,1,8,82,3.62,8,82,0.194503304469935,3.28438902879017,3.47889233326011
12_N041,FRA_2020_1,1,11,5,3.34,11,5,-0.0798466134404312,3.28438902879017,3.20454241534974
12_N046,FRA_2020_1,1,7,2,2.28,7,2,-0.396412114566981,2.47415606974539,2.0777439551784
12_N052,FRA_2020_1,1,4,47,3.88,4,47,0.29431793474746,3.79069707508059,4.08501500982805
12_N052,FRA_2020_1,1,9,2,4.22,9,2,-0.0126455808372237,3.79069707508059,3.77805149424336
12_N057,FRA_2020_1,1,13,84,2.66,13,84,0.226977175565313,2.24150169072059,2.46847886628591
12_N057,FRA_2020_1,1,2,11,1.2,2,11,-0.743217932233539,2.24150169072059,1.49828375848705
12_N062,FRA_2020_1,1,7,49,3,7,49,-0.0957667008345244,2.87351819779586,2.77775149696134
12_N062,FRA_2020_1,1,13,3,2.88,13,3,-0.0949539424971322,2.87351819779586,2.77856425529873
12_N063,FRA_2020_1,1,4,37,3.48,4,37,0.969361493859236,2.75285660563598,3.72221809949521
12_N063,FRA_2020_1,1,12,68,1.52,12,68,-1.22222889240306,2.75285660563598,1.53062771323292
12_O010,FRA_2020_1,1,3,80,1.42,3,80,-0.315139003649916,1.73428014152492,1.419141137875
12_O010,FRA_2020_1,1,10,41,1.48,10,41,-0.462346221054428,1.73428014152492,1.27193392047049
12_O011,FRA_2020_1,1,3,77,4.1,3,77,0.238563235222158,3.86022866762004,4.0987919028422
12_O011,FRA_2020_1,1,10,38,4.14,10,38,0.0789213666761119,3.86022866762004,3.93915003429615
12_O014,FRA_2020_1,1,6,50,2.28,6,50,-0.309814313053593,2.58738288351185,2.27756857045826
12_O014,FRA_2020_1,1,2,26,2.3,2,26,-0.0282803290464728,2.58738288351185,2.55910255446538
12_O017,FRA_2020_1,1,2,25,2.12,2,25,0.152457737618958,2.23595248900361,2.38841022662257
12_O017,FRA_2020_1,1,12,77,1.58,12,77,-0.671556610731324,2.23595248900361,1.56439587827228
12_O026,FRA_2020_1,1,3,57,1.68,3,57,-0.372857418739878,2.01108042318458,1.6382230044447
12_O026,FRA_2020_1,1,11,7,1.86,11,7,-0.262061815917124,2.01108042318458,1.74901860726746
12_O056,FRA_2020_1,1,14,8,4.76,14,8,0.551812043113641,4.1998492685793,4.75166131169294
12_O056,FRA_2020_1,1,1,56,3.92,1,56,-0.0594058445828898,4.1998492685793,4.14044342399641
12_O061,FRA_2020_1,1,2,57,3.14,2,57,0.746143812246847,2.61620854942683,3.36235236167368
12_O061,FRA_2020_1,1,2,23,1.26,2,23,-1.06939179459895,2.61620854942683,1.54681675482788
12_O063,FRA_2020_1,1,3,54,2.8,3,54,-0.0199684520566477,2.77829133829341,2.75832288623676
12_O063,FRA_2020_1,1,3,17,2.54,3,17,-0.219798786974498,2.77829133829341,2.55849255131891
12_O072,FRA_2020_1,1,7,81,4.32,7,81,0.0529916726501325,4.01476326687707,4.0677549395272
12_O072,FRA_2020_1,1,12,16,4.34,12,16,0.344085977374931,4.01476326687707,4.358849244252
12_O074,FRA_2020_1,1,2,18,3.14,2,18,-0.0386516937453165,3.46747266891975,3.42882097517444
12_O074,FRA_2020_1,1,10,85,3.9,10,85,0.153847311448886,3.46747266891975,3.62131998036864
12_P001,FRA_2020_1,1,10,27,3.14,10,27,-0.111534790786845,3.02726220280425,2.9157274120174
12_P002,FRA_2020_1,1,9,45,3.64,9,45,-0.265036541910587,3.45859498588997,3.19355844397938
12_P002,FRA_2020_1,1,8,3,3.92,8,3,0.375659708810002,3.45859498588997,3.83425469469997
12_P003,FRA_2020_1,1,11,4,1.84,11,4,-0.832375224021346,2.57277044602365,1.7403952220023
12_P003,FRA_2020_1,1,8,44,3.16,8,44,0.48675444573015,2.57277044602365,3.0595248917538
12_P018,FRA_2020_1,1,7,9,3.98,7,9,-0.16522147361879,3.95427246902144,3.78905099540265
12_P018,FRA_2020_1,1,11,47,4.62,11,47,0.531143337120326,3.95427246902144,4.48541580614176
12_P025,FRA_2020_1,1,9,77,5.54,9,77,1.06232719440048,4.00162573123198,5.06395292563246
12_P025,FRA_2020_1,1,10,21,3.54,10,21,-0.672016032345694,4.00162573123198,3.32960969888629
12_P027,FRA_2020_1,1,10,70,5.14,10,70,0.103383384189063,4.78184771113332,4.88523109532239
12_P027,FRA_2020_1,1,14,24,5.46,14,24,0.688781122646965,4.78184771113332,5.47062883378029
12_P029,FRA_2020_1,1,6,48,2.7,6,48,0.0172363429322742,2.67280489360252,2.69004123653479
12_P029,FRA_2020_1,1,5,38,2.48,5,38,-0.311334377198741,2.67280489360252,2.36147051640378
12_P034,FRA_2020_1,1,7,78,3.64,7,78,0.145095229977701,3.23650065119981,3.38159588117751
12_P034,FRA_2020_1,1,6,54,3.22,6,54,-0.0297488778010577,3.23650065119981,3.20675177339875
12_P034,FRA_2020_1,1,3,13,3.06,3,13,-0.119112876353983,3.23650065119981,3.11738777484583
12_P055,FRA_2020_1,1,9,7,2.46,9,7,-0.767567925026802,2.80232678293092,2.03475885790412
12_P055,FRA_2020_1,1,5,75,3.48,5,75,0.540180142188519,2.80232678293092,3.34250692511944
12_P056,FRA_2020_1,1,4,69,4.24,4,69,0.150247138597472,4.31928122464513,4.4695283632426
12_P056,FRA_2020_1,1,13,36,4.8,13,36,0.403672491053102,4.31928122464513,4.72295371569823
1218,FRA_2020_1,1,14,27,3,14,27,0.496555852490269,2.51635279845162,3.01290865094189
1218,FRA_2020_1,1,14,72,1.68,14,72,-0.871234541178151,2.51635279845162,1.64511825727347
1236,FRA_2020_1,1,13,25,2.7,13,25,-0.269246247696994,2.88159414199558,2.61234789429859
1236,FRA_2020_1,1,9,76,3.44,9,76,0.0826851195706477,2.88159414199558,2.96427926156623
13_10,FRA_2020_1,1,3,71,2.78,3,71,0.0327460882493034,2.72783346001404,2.76057954826334
13_10,FRA_2020_1,1,4,25,2.18,4,25,-0.29850165839578,2.72783346001404,2.42933180161826
13_109,FRA_2020_1,1,3,56,3.18,3,56,0.0361683921085159,3.08563748836901,3.12180588047752
13_109,FRA_2020_1,1,2,31,2.72,2,31,-0.117636991015294,3.08563748836901,2.96800049735371
13_139,FRA_2020_1,1,9,56,3.38,9,56,-0.0863829527630649,2.987343301694,2.90096034893094
13_139,FRA_2020_1,1,7,33,3.16,7,33,-0.0457120687585872,2.987343301694,2.94163123293541
13_32,FRA_2020_1,1,8,50,2.8,8,50,-0.146165401513889,2.84327858486847,2.69711318335458
13_32,FRA_2020_1,1,14,1,2.8,14,1,-0.0601301549999178,2.84327858486847,2.78314842986855
13_35,FRA_2020_1,1,6,40,3.98,6,40,0.206239524731816,3.78287053391905,3.98911005865087
13_35,FRA_2020_1,1,8,46,3.98,8,46,0.0714017690123976,3.78287053391905,3.85427230293145
13_38,FRA_2020_1,1,12,19,1.48,12,19,-0.922948236372996,2.43585617929007,1.51290794291708
13_38,FRA_2020_1,1,14,50,2.9,14,50,0.506809762538149,2.43585617929007,2.94266594182822
130,FRA_2020_1,1,5,18,3.54,5,18,0.146691159951441,3.29314371687345,3.43983487682489
130,FRA_2020_1,1,3,61,3.2,3,61,-0.121283672134799,3.29314371687345,3.17186004473865
131,FRA_2020_1,1,8,42,3.1,8,42,-0.0555751022919657,3.05835769989626,3.00278259760429
131,FRA_2020_1,1,9,49,3.46,9,49,-0.0399439521583496,3.05835769989626,3.01841374773791
133,FRA_2020_1,1,13,19,1.24,13,19,-0.623691343496674,1.78145605411075,1.15776471061407
133,FRA_2020_1,1,5,79,1.8,5,79,-0.129495926581839,1.78145605411075,1.65196012752891
135,FRA_2020_1,1,3,30,3.4,3,30,0.72212166383782,2.65290016546594,3.37502182930376
135,FRA_2020_1,1,4,50,2.36,4,50,-0.0701339057156307,2.65290016546594,2.58276625975031
135,FRA_2020_1,1,5,21,1.78,5,21,-0.976955875267518,2.65290016546594,1.67594429019842
135,FRA_2020_1,1,8,62,2.8,8,62,0.0206181522941051,2.65290016546594,2.67351831776004
1377,FRA_2020_1,1,7,85,2.46,7,85,-0.338845640425595,2.54878355292276,2.20993791249716
1377,FRA_2020_1,1,6,12,2.5,6,12,-0.0191295875886266,2.54878355292276,2.52965396533413
140,FRA_2020_1,1,3,23,3.48,3,23,-0.858397991668893,4.35619182395847,3.49779383228958
140,FRA_2020_1,1,12,49,5.74,12,49,1.43132842615966,4.35619182395847,5.78752025011813
141,FRA_2020_1,1,1,10,3.72,1,10,0.0984139055211908,3.94480829602085,4.04322220154204
141,FRA_2020_1,1,8,84,4.36,8,84,0.262633435506175,3.94480829602085,4.20744173152703
143,FRA_2020_1,1,14,4,2.2,14,4,-0.502715386645109,2.73315539539844,2.23044000875333
143,FRA_2020_1,1,9,47,3.44,9,47,0.239700879414086,2.73315539539844,2.97285627481253
1446,FRA_2020_1,1,3,48,4.02,3,48,1.16716786569187,2.81359922368312,3.98076708937499
1446,FRA_2020_1,1,7,37,1.64,7,37,-1.388749777718,2.81359922368312,1.42484944596512
1448,FRA_2020_1,1,7,71,3.66,7,71,0.0596327012916502,3.35959398826425,3.4192266895559
1478,FRA_2020_1,1,6,17,4.2,6,17,0.296956580199292,3.92953649783557,4.22649307803486
1478,FRA_2020_1,1,10,75,4.24,10,75,0.0562250208980757,3.92953649783557,3.98576151873365
1481,FRA_2020_1,1,10,67,4.08,10,67,-0.0945290438805282,3.94982533791024,3.85529629402971
1481,FRA_2020_1,1,11,23,4.52,11,23,0.45816041242325,3.94982533791024,4.40798575033349
149,FRA_2020_1,1,5,27,4.6,5,27,0.174858318249396,4.29896291009256,4.47382122834196
149,FRA_2020_1,1,11,57,4.8,11,57,0.368596363125428,4.29896291009256,4.66755927321799
15,FRA_2020_1,1,11,15,6.76,11,15,1.5711110289171,5.05682572699954,6.62793675591663
15,FRA_2020_1,1,8,73,4.54,8,73,-0.637319090063411,5.05682572699954,4.41950663693613
152,FRA_2020_1,1,8,58,3.94,8,58,0.925005419050271,2.88544541845844,3.81045083750871
152,FRA_2020_1,1,9,42,2.22,9,42,-1.10958294716513,2.88544541845844,1.77586247129331
163,FRA_2020_1,1,8,57,3.18,8,57,-0.484527040264061,3.54800537092053,3.06347833065647
163,FRA_2020_1,1,2,35,3.94,2,35,0.641201027581598,3.54800537092053,4.18920639850213
17,FRA_2020_1,1,12,74,4.16,12,74,0.00771497582593295,4.14098554929428,4.14870052512022
17,FRA_2020_1,1,7,24,4.82,7,24,0.454373463028346,4.14098554929428,4.59535901232263
170,FRA_2020_1,1,5,49,1.44,5,49,-1.44149045968716,2.75244179320943,1.31095133352227
170,FRA_2020_1,1,14,7,3.92,14,7,1.18840941199558,2.75244179320943,3.94085120520501
173,FRA_2020_1,1,7,23,2.8,7,23,-0.233540272453441,2.83069505219529,2.59715477974185
173,FRA_2020_1,1,6,51,2.86,6,51,0.0207635672099915,2.83069505219529,2.85145861940528
1870,FRA_2020_1,1,12,40,2.68,12,40,0.348193436404245,2.37783153624559,2.72602497264983
1870,FRA_2020_1,1,5,61,1.72,5,61,-0.794217503682794,2.37783153624559,1.58361403256279
1872,FRA_2020_1,1,1,63,2.06,1,63,-0.545848350957793,2.84366458391847,2.29781623296068
1872,FRA_2020_1,1,12,31,3.16,12,31,0.339751603261639,2.84366458391847,3.18341618718011
1887,FRA_2020_1,1,6,18,3.36,6,18,0.245040183154397,3.1421984966467,3.3872386798011
1887,FRA_2020_1,1,11,72,3.02,11,72,-0.297377033730435,3.1421984966467,2.84482146291627
1889,FRA_2020_1,1,9,16,2.82,9,16,-0.295482947306454,2.66719638445512,2.37171343714867
1889,FRA_2020_1,1,12,80,2.7,12,80,-0.00150374969725675,2.66719638445512,2.66569263475786
1893,FRA_2020_1,1,4,81,2.54,4,81,-0.725157843386349,3.50275216918608,2.77759432579973
1893,FRA_2020_1,1,10,16,4.58,10,16,0.85852416833664,3.50275216918608,4.36127633752272
1900,FRA_2020_1,1,8,76,3.96,8,76,0.113151456499639,3.72638884912413,3.83954030562377
1900,FRA_2020_1,1,5,6,3.96,5,6,0.135398944475067,3.72638884912413,3.86178779359919
1901,FRA_2020_1,1,2,41,2.26,2,41,0.0901014891448524,2.41151877538874,2.5016202645336
1901,FRA_2020_1,1,7,44,2.12,7,44,-0.518774943296824,2.41151877538874,1.89274383209192
1910,FRA_2020_1,1,1,55,0.66,1,55,-0.41110607129787,1.29912334295172,0.888017271653848
1910,FRA_2020_1,1,14,10,0.7,14,10,-0.590506670338348,1.29912334295172,0.70861667261337
192,FRA_2020_1,1,6,83,0.78,6,83,-0.837632788681822,1.61750009710774,0.779867308425922
1935,FRA_2020_1,1,2,72,1.74,2,72,-0.432906067542115,2.40330090675009,1.97039483920798
1951,FRA_2020_1,1,11,59,3.1,11,59,0.449454261343661,2.51664528303139,2.96609954437505
1951,FRA_2020_1,1,4,7,1.4,4,7,-0.823982305843471,2.51664528303139,1.69266297718791
1952,FRA_2020_1,1,3,73,3.76,3,73,0.170531113681475,3.57490979938385,3.74544091306533
1962,FRA_2020_1,1,7,45,5.36,7,45,0.750822140737838,4.38240399139397,5.13322613213181
1962,FRA_2020_1,1,12,33,4.18,12,33,-0.164391128937944,4.38240399139397,4.21801286245602
197,FRA_2020_1,1,1,66,3.2,1,66,-0.071183595115047,3.51167119047926,3.44048759536421
197,FRA_2020_1,1,13,39,3.78,13,39,0.209143662142806,3.51167119047926,3.72081485262206
1985,FRA_2020_1,1,1,28,0.54,1,28,-0.739983691508524,1.55297347958139,0.812989788072869
1985,FRA_2020_1,1,7,68,1.66,7,68,-0.130883532690825,1.55297347958139,1.42208994689057
1988,FRA_2020_1,1,11,80,1.58,11,80,-0.626512282018136,2.02740301777792,1.40089073575978
1991,FRA_2020_1,1,10,56,2.32,10,56,-0.315297714033801,2.39258880856781,2.07729109453401
1991,FRA_2020_1,1,14,12,2.26,14,12,-0.123125619869767,2.39258880856781,2.26946318869804
1997,FRA_2020_1,1,10,86,2.74,10,86,-0.567797732872714,3.01886300536604,2.45106527249333
1997,FRA_2020_1,1,4,41,3.42,4,41,0.632399608591922,3.01886300536604,3.65126261395796
1997,FRA_2020_1,1,11,68,2.98,11,68,-0.180462673297676,3.01886300536604,2.83840033206836
2,FRA_2020_1,1,8,1,4.4,8,1,0.409872460801615,3.88989103629905,4.29976349710066
2,FRA_2020_1,1,5,59,3.96,5,59,-0.077110255381724,3.88989103629905,3.81278078091732
200,FRA_2020_1,1,6,69,1.78,6,69,-0.737953472271654,2.51284759829587,1.77489412602422
200,FRA_2020_1,1,2,37,2.62,2,37,0.361469430180506,2.51284759829587,2.87431702847638
2003,FRA_2020_1,1,10,54,0.96,10,54,-0.606323953603511,1.34199812075167,0.73567416714816
2003,FRA_2020_1,1,13,4,1.04,13,4,-0.373206132955698,1.34199812075167,0.968791987795972
2010,FRA_2020_1,1,3,40,2.18,3,40,-0.537685956218037,2.70019193071428,2.16250597449625
2010,FRA_2020_1,1,1,75,2.68,1,75,0.257693615908563,2.70019193071428,2.95788554662285
2013,FRA_2020_1,1,1,14,2.14,1,14,-0.269663706363308,2.72024558295286,2.45058187658955
202,FRA_2020_1,1,11,39,1.4,11,39,-1.41784741580497,2.71291411903581,1.29506670323084
202,FRA_2020_1,1,7,59,4.1,7,59,1.14440763881932,2.71291411903581,3.85732175785514
2024,FRA_2020_1,1,6,71,0.66,6,71,-0.713122413095852,1.36561410639519,0.652491693299334
2024,FRA_2020_1,1,7,34,1.32,7,34,-0.254244259632895,1.36561410639519,1.11136984676229
2026,FRA_2020_1,1,5,15,2.34,5,15,-0.0605758782801709,2.29366961124469,2.23309373296452
2026,FRA_2020_1,1,11,73,2.02,11,73,-0.428795789983829,2.29366961124469,1.86487382126086
203,FRA_2020_1,1,11,21,1.82,11,21,0.0524338322089546,1.64678483341435,1.6992186656233
203,FRA_2020_1,1,5,57,0.92,5,57,-0.874983516929346,1.64678483341435,0.771801316485002
204,FRA_2020_1,1,1,73,3.74,1,73,0.532163640392183,3.48472520045264,4.01688884084482
204,FRA_2020_1,1,13,37,3.14,13,37,-0.408082106012291,3.48472520045264,3.07664309444035
2046,FRA_2020_1,1,10,1,4.94,10,1,1.04634948489124,3.66316494643269,4.70951443132394
2046,FRA_2020_1,1,4,83,2.58,4,83,-0.830362556134901,3.66316494643269,2.83280239029779
2050,FRA_2020_1,1,4,82,2.68,4,82,-0.0651159229108314,2.98215368487628,2.91703776196545
2050,FRA_2020_1,1,4,31,2.68,4,31,-0.0696520108461387,2.98215368487628,2.91250167403014
2055,FRA_2020_1,1,5,8,2.64,5,8,0.131229900417734,2.40181971267627,2.533049613094
2055,FRA_2020_1,1,8,52,1.94,8,52,-0.564898856994215,2.40181971267627,1.83692085568205
206,FRA_2020_1,1,9,86,0.94,9,86,-0.956461607437823,1.38678693410145,0.430325326663631
2061,FRA_2020_1,1,8,32,3.72,8,32,0.0114581840699959,3.59457656197866,3.60603474604865
2061,FRA_2020_1,1,13,48,3.84,13,48,0.169202296039658,3.59457656197866,3.76377885801832
2071,FRA_2020_1,1,9,67,2.02,9,67,-0.682318346136741,2.24451747352734,1.5621991273906
2071,FRA_2020_1,1,7,28,2.64,7,28,0.167630868457372,2.24451747352734,2.41214834198471
216,FRA_2020_1,1,3,82,2.56,3,82,-0.159991952630607,2.71570582750164,2.55571387487104
216,FRA_2020_1,1,9,19,3.04,9,19,-0.112009954859501,2.71570582750164,2.60369587264214
236,FRA_2020_1,1,8,34,1.04,8,34,-0.777745498252471,1.73377480507403,0.956029306821556
241,FRA_2020_1,1,9,30,3.16,9,30,-0.17864658849623,2.87466598724247,2.69601939874624
241,FRA_2020_1,1,8,60,2.96,8,60,-0.0114828858603091,2.87466598724247,2.86318310138216
2410,FRA_2020_1,1,6,16,4.38,6,16,0.391439718656712,4.00904861420119,4.40048833285791
2410,FRA_2020_1,1,3,84,4.02,3,84,0.00269459940486172,4.00904861420119,4.01174321360606
2422,FRA_2020_1,1,9,3,4.04,9,3,-0.100872275746995,3.6987638597149,3.59789158396791
2422,FRA_2020_1,1,11,58,4.18,11,58,0.335194425429618,3.6987638597149,4.03395828514452
2443,FRA_2020_1,1,14,66,3,14,66,-0.187773176633519,3.18155885093953,2.99378567430601
2443,FRA_2020_1,1,12,13,3.28,12,13,0.155708877243932,3.18155885093953,3.33726772818346
249,FRA_2020_1,1,8,33,5.66,8,33,0.629027173311535,4.93697289607586,5.56600006938739
249,FRA_2020_1,1,2,63,5.46,2,63,0.744479113658067,4.93697289607586,5.68145200973393
249,FRA_2020_1,1,1,20,3.58,1,20,-1.05167556559675,4.93697289607586,3.88529733047911
249,FRA_2020_1,1,10,52,5.7,10,52,0.550231014757919,4.93697289607586,5.48720391083378
25,FRA_2020_1,1,6,77,2.06,6,77,-0.352738595852794,2.41216203178269,2.0594234359299
25,FRA_2020_1,1,2,64,1.92,2,64,-0.261767604351749,2.41216203178269,2.15039442743094
25,FRA_2020_1,1,2,6,2.3,2,6,0.186164055269848,2.41216203178269,2.59832608705254
26,FRA_2020_1,1,10,66,2.02,10,66,-0.50032159167523,2.27240968885104,1.77208809717581
261,FRA_2020_1,1,13,5,3.44,13,5,-0.192631350110898,3.52596694047987,3.33333559036898
261,FRA_2020_1,1,3,75,3.88,3,75,0.337954443433592,3.52596694047987,3.86392138391347
262,FRA_2020_1,1,5,82,3.02,5,82,0.146697709570273,2.73776265561747,2.88446036518775
262,FRA_2020_1,1,5,86,3.28,5,86,0.409681086392043,2.73776265561747,3.14744374200952
262,FRA_2020_1,1,7,40,2.14,7,40,-0.817020333734652,2.73776265561747,1.92074232188282
2625,FRA_2020_1,1,2,74,3.44,2,74,0.163282699842227,3.53302473773346,3.69630743757568
2625,FRA_2020_1,1,9,11,3.96,9,11,-0.0143244879171287,3.53302473773346,3.51870024981633
2651,FRA_2020_1,1,2,3,2.18,2,3,-0.256715330602954,2.74538561849928,2.48867028789632
2652,FRA_2020_1,1,4,68,2.32,4,68,-0.46178035556618,3.00924822186069,2.54746786629451
2652,FRA_2020_1,1,1,17,3.04,1,17,0.340967463570358,3.00924822186069,3.35021568543105
2653,FRA_2020_1,1,11,9,2.96,11,9,-0.134829537431255,2.98203407770778,2.84720454027653
267,FRA_2020_1,1,9,54,4.38,9,54,0.494964586029552,3.42411229148726,3.91907687751681
267,FRA_2020_1,1,6,36,3.02,6,36,-0.402101731502461,3.42411229148726,3.0220105599848
2670,FRA_2020_1,1,11,18,1.92,11,18,-0.491266047811125,2.28999156157771,1.79872551376659
2671,FRA_2020_1,1,6,68,3.36,6,68,-0.150638742242829,3.50444598099187,3.35380723874904
2671,FRA_2020_1,1,10,30,4.02,10,30,0.284877464994143,3.50444598099187,3.78932344598601
270,FRA_2020_1,1,3,2,2.7,3,2,0.547776982449566,2.18885430403978,2.73663128648935
270,FRA_2020_1,1,6,76,1.1,6,76,-1.09113377657467,2.18885430403978,1.09772052746512
2720,FRA_2020_1,1,3,35,2.6,3,35,-0.224411385627033,2.80810563373632,2.58369424810929
2722,FRA_2020_1,1,12,23,3.26,12,23,-0.049116144282388,3.34795857264571,3.29884242836332
2722,FRA_2020_1,1,9,50,3.9,9,50,0.10275602455043,3.34795857264571,3.45071459719614
2732,FRA_2020_1,1,4,77,3.7,4,77,0.298112682222176,3.64558728116277,3.94369996338494
2732,FRA_2020_1,1,6,38,3.54,6,38,-0.0911791302792668,3.64558728116277,3.5544081508835
2762,FRA_2020_1,1,11,64,3.92,11,64,-0.166531606401629,3.94534125325426,3.77880964685263
2762,FRA_2020_1,1,3,21,4.46,3,21,0.527853447061636,3.94534125325426,4.47319470031589
2779,FRA_2020_1,1,2,12,2.3,2,12,0.492268420681849,2.10420020283681,2.59646862351865
2779,FRA_2020_1,1,4,78,0.8,4,78,-1.07922631115413,2.10420020283681,1.02497389168268
2784,FRA_2020_1,1,1,11,3.82,1,11,0.0242367168929252,4.11654774416166,4.14078446105459
2784,FRA_2020_1,1,8,86,4.94,8,86,0.676306417429758,4.11654774416166,4.79285416159142
2784,FRA_2020_1,1,1,58,3.64,1,58,-0.251041387441482,4.11654774416166,3.86550635672018
2785,FRA_2020_1,1,12,41,4.34,12,41,0.400459534406529,3.98228142148282,4.38274095588935
2785,FRA_2020_1,1,12,45,3.92,12,45,-0.0201116594359867,3.98228142148282,3.96216976204683
2794,FRA_2020_1,1,11,78,5.54,11,78,1.371845346543,3.98206010486146,5.35390545140446
2794,FRA_2020_1,1,11,40,3.1,11,40,-0.991611460702286,3.98206010486146,2.99044864415917
2796,FRA_2020_1,1,6,75,4.78,6,75,0.0741366477290333,4.69442236559949,4.76855901332852
2796,FRA_2020_1,1,11,42,5.48,11,42,0.672999433317362,4.69442236559949,5.36742179891685
2802,FRA_2020_1,1,8,81,3.88,8,81,0.124245040073248,3.61815592300421,3.74240096307746
2802,FRA_2020_1,1,12,8,3.68,12,8,0.0685599903567136,3.61815592300421,3.68671591336092
2809,FRA_2020_1,1,3,32,5.2,3,32,0.839673243214262,4.33236416723533,5.17203741044959
2809,FRA_2020_1,1,4,59,3.84,4,59,-0.279015243747292,4.33236416723533,4.05334892348804
2810,FRA_2020_1,1,2,4,2.84,2,4,0.46763445738814,2.70908562071833,3.17672007810647
2810,FRA_2020_1,1,10,69,2.2,10,69,-0.743046102501066,2.70908562071833,1.96603951821726
2813,FRA_2020_1,1,2,75,1.46,2,75,-0.519543143778246,2.235089911292,1.71554676751376
2817,FRA_2020_1,1,2,77,1.12,2,77,-0.70145582585025,2.09320849180619,1.39175266595594
2817,FRA_2020_1,1,9,43,2.64,9,43,0.108836654413962,2.09320849180619,2.20204514622015
2820,FRA_2020_1,1,12,39,4.22,12,39,0.243641136208343,4.02679218110703,4.27043331731537
2820,FRA_2020_1,1,9,84,4.7,9,84,0.159632006307217,4.02679218110703,4.18642418741425
2823,FRA_2020_1,1,11,32,3.14,11,32,0.742953882158258,2.26040518485391,3.00335906701217
2823,FRA_2020_1,1,10,60,1.22,10,60,-1.24945839383313,2.26040518485391,1.01094679102078
2827,FRA_2020_1,1,6,19,4.74,6,19,0.520093321089401,4.25030139285566,4.77039471394506
2827,FRA_2020_1,1,3,52,4.28,3,52,-0.00170175504266901,4.25030139285566,4.24859963781299
2830,FRA_2020_1,1,9,28,3.74,9,28,0.129612189489675,3.15481943459104,3.28443162408072
2830,FRA_2020_1,1,9,82,3.48,9,82,-0.175448625750489,3.15481943459104,2.97937080884055
2831,FRA_2020_1,1,11,82,3.52,11,82,0.519093822761577,2.80663224991863,3.32572607268021
2831,FRA_2020_1,1,3,9,2.02,3,9,-0.744264074750408,2.80663224991863,2.06236817516823
2836,FRA_2020_1,1,1,85,1.2,1,85,-0.586709087532823,2.10468326842416,1.51797418089134
2847,FRA_2020_1,1,13,83,3.16,13,83,-0.0840868064115714,3.08055408401337,2.9964672776018
2848,FRA_2020_1,1,3,10,3.62,3,10,0.337115387678227,3.31141284810508,3.6485282357833
2848,FRA_2020_1,1,7,67,3.24,7,67,-0.302298383492144,3.31141284810508,3.00911446461293
2849,FRA_2020_1,1,5,37,4.02,5,37,-0.0533753343824941,3.95457785927689,3.90120252489439
2849,FRA_2020_1,1,2,47,4.16,2,47,0.419454489140592,3.95457785927689,4.37403234841748
2850,FRA_2020_1,1,2,51,2.54,2,51,0.0799261445653205,2.68585125509193,2.76577739965725
2850,FRA_2020_1,1,3,18,2.3,3,18,-0.367304650112016,2.68585125509193,2.31854660497992
2855,FRA_2020_1,1,3,43,3.24,3,43,0.0418583671191364,3.18003281253999,3.22189117965913
2855,FRA_2020_1,1,11,60,3.22,11,60,-0.0747086526138525,3.18003281253999,3.10532415992614
2856,FRA_2020_1,1,14,45,4.9,14,45,0.198927738284348,4.74583175464633,4.94475949293067
2856,FRA_2020_1,1,2,10,5.02,2,10,0.574686749515274,4.74583175464633,5.3205185041616
286,FRA_2020_1,1,12,2,2.9,12,2,0.127019288651075,2.78960337488372,2.91662266353479
286,FRA_2020_1,1,13,55,2.52,13,55,-0.360960263032918,2.78960337488372,2.4286431118508
2862,FRA_2020_1,1,10,36,3.28,10,36,0.100677945264194,2.96407189628456,3.06474984154876
2862,FRA_2020_1,1,6,78,2.74,6,78,-0.244758904560545,2.96407189628456,2.71931299172402
2865,FRA_2020_1,1,2,28,3.26,2,28,0.168486356857135,3.34619297253035,3.51467932938748
2865,FRA_2020_1,1,14,64,3.22,14,64,-0.115755848960261,3.34619297253035,3.23043712357009
2872,FRA_2020_1,1,14,78,3.54,14,78,0.229183426878246,3.25337390870871,3.48255733558695
2872,FRA_2020_1,1,3,38,3.04,3,38,-0.224259379472155,3.25337390870871,3.02911452923655
29,FRA_2020_1,1,11,56,3.82,11,56,0.14572853298689,3.52675412551053,3.67248265849742
