Genotype,Envir,Management,Row,Position,Sample_size,R,P,Sample_size_spats_residuals,Sample_size_spats_geno_pred_values,Sample_size_spats_adj_pheno
I_BB056,BEL_2021_1,1,18,48,20,18,48,2.84458063976374,17.6502207283052,20.4948013680689
I_BB070,BEL_2021_1,1,23,35,2,23,35,-13.745247331142,15.26783405622,1.52258672507805
I_CC003,BEL_2021_1,1,23,49,20,23,49,1.56519764539645,18.0945678177739,19.6597654631704
I_CC003,BEL_2021_1,1,23,67,20,23,67,1.74587388540182,18.0945678177739,19.8404417031758
I_CC044,BEL_2021_1,1,19,61,20,19,61,2.1084058687971,18.2904729112716,20.3988787800687
I_CC044,BEL_2021_1,1,17,52,20,17,52,2.38474364430737,18.2904729112716,20.675216555579
I_CC048,BEL_2021_1,1,18,29,20,18,29,4.35578840967385,16.0490558184746,20.4048442281484
I_CC048,BEL_2021_1,1,19,104,2,19,104,-13.3871968713301,16.0490558184746,2.66185894714447
I_CC052,BEL_2021_1,1,17,115,7,17,115,-8.24415237580235,16.1795273097081,7.93537493390576
I_CC055,BEL_2021_1,1,17,89,20,17,89,2.62537547452788,18.2016360522615,20.8270115267894
I_CC055,BEL_2021_1,1,24,53,20,24,53,1.33173848596197,18.2016360522615,19.5333745382235
I_CC057,BEL_2021_1,1,17,36,20,17,36,2.63270979808624,17.9821433240761,20.6148531221623
I_CC059,BEL_2021_1,1,26,74,20,26,74,1.65888099900671,17.8207512460659,19.4796322450727
I_CC067,BEL_2021_1,1,17,16,11,17,16,-5.15759613772001,16.6910604720361,11.5334643343161
I_CC070,BEL_2021_1,1,25,8,20,25,8,0.795719895101055,18.028648263086,18.824368158187
I_CC070,BEL_2021_1,1,22,84,20,22,84,2.11759753543954,18.028648263086,20.1462457985255
I_CC075,BEL_2021_1,1,26,59,20,26,59,1.49076412859648,17.7928893353382,19.2836534639347
I_J012,BEL_2021_1,1,23,94,20,23,94,2.19673792893678,17.9098899608745,20.1066278898113
I_J030,BEL_2021_1,1,21,53,13,21,53,-4.35586029370887,17.3817944659436,13.0259341722347
I_J030,BEL_2021_1,1,17,69,20,17,69,3.36610599843808,17.3817944659436,20.7479004643817
I_J033,BEL_2021_1,1,17,62,3,17,62,-11.8594089258865,15.580372953512,3.72096402762551
I_J036,BEL_2021_1,1,18,19,20,18,19,2.12610361769603,18.2233108759726,20.3494144936686
I_J036,BEL_2021_1,1,24,112,20,24,112,1.96179475182468,18.2233108759726,20.1851056277973
I_J046,BEL_2021_1,1,21,100,20,21,100,2.13363659292074,18.2690671102203,20.4027037031411
I_J046,BEL_2021_1,1,17,8,20,17,8,2.2303517755468,18.2690671102203,20.4994188857671
I_J054,BEL_2021_1,1,19,105,20,19,105,2.39544324762732,18.2686027180573,20.6640459656846
I_J054,BEL_2021_1,1,19,33,20,19,33,1.96574301017906,18.2686027180573,20.2343457282364
I_J056,BEL_2021_1,1,19,51,1,19,51,-13.8960232798451,15.2428460463171,1.34682276647196
I_J063,BEL_2021_1,1,20,113,3,20,113,-12.1065748077455,15.7198617241888,3.61328691644331
I_J063,BEL_2021_1,1,21,26,17,21,26,1.08883161730357,15.7198617241888,16.8086933414924
I_J064,BEL_2021_1,1,26,95,17,26,95,-0.678825073114101,17.4333245843025,16.7544995111884
I_M007,BEL_2021_1,1,17,13,13,17,13,-3.45037384194684,16.973997425842,13.5236235838951
I_M013,BEL_2021_1,1,24,93,20,24,93,2.07979291949809,17.8905087327736,19.9703016522717
I_M014,BEL_2021_1,1,22,57,20,22,57,1.71262322501212,18.1849048894854,19.8975281144975
I_M014,BEL_2021_1,1,21,91,20,21,91,2.14353603959446,18.1849048894854,20.3284409290799
I_M024,BEL_2021_1,1,21,8,20,21,8,3.17502071570337,16.4868728067734,19.6618935224768
I_M024,BEL_2021_1,1,24,88,7,24,88,-9.56467130926292,16.4868728067734,6.92220149751051
I_M026,BEL_2021_1,1,17,44,20,17,44,2.36058260215495,18.2838564552617,20.6444390574167
I_M026,BEL_2021_1,1,20,80,20,20,80,2.09264366632868,18.2838564552617,20.3765001215904
I_M029,BEL_2021_1,1,21,98,20,21,98,2.43597400559557,17.9495384161096,20.3855124217052
I_M047,BEL_2021_1,1,18,32,20,18,32,2.11235821931011,18.3009986830076,20.4133569023177
I_M047,BEL_2021_1,1,17,68,20,17,68,2.4443030830682,18.3009986830076,20.7453017660758
I_M048,BEL_2021_1,1,24,29,20,24,29,1.48342807631277,17.7916735356786,19.2751016119913
I_M052,BEL_2021_1,1,17,38,20,17,38,2.27552661568064,18.3461869647028,20.6217135803834
I_M052,BEL_2021_1,1,17,107,20,17,107,2.5537976986514,18.3461869647028,20.8999846633542
I_M056,BEL_2021_1,1,22,69,4,22,69,-12.1288384273091,16.1361524701382,4.00731404282908
I_M056,BEL_2021_1,1,21,20,20,21,20,3.62296522574234,16.1361524701382,19.7591176958805
I_W002,BEL_2021_1,1,20,8,20,20,8,1.78646659503269,18.0848082687714,19.8712748638041
I_W002,BEL_2021_1,1,26,79,20,26,79,1.46571648224347,18.0848082687714,19.5505247510148
I_W010,BEL_2021_1,1,19,73,20,19,73,2.41264287589878,18.0632161130748,20.4758589889736
I_W010,BEL_2021_1,1,26,20,20,26,20,0.709254605511816,18.0632161130748,18.7724707185866
I_W034,BEL_2021_1,1,26,102,2,26,102,-13.9739186854193,15.8202903735499,1.8463716881306
I_W034,BEL_2021_1,1,25,54,20,25,54,3.5621551205346,15.8202903735499,19.3824454940845
I_W036,BEL_2021_1,1,18,22,5,18,22,-10.9621792027869,16.3257435903843,5.36356438759739
I_W036,BEL_2021_1,1,23,76,20,23,76,3.6002858992535,16.3257435903843,19.9260294896378
I_W037,BEL_2021_1,1,22,95,10,22,95,-6.54426192869273,16.7867803810428,10.2425184523501
I_W037,BEL_2021_1,1,25,2,20,25,2,1.9642331981548,16.7867803810428,18.7510135791976
I_W044,BEL_2021_1,1,25,70,20,25,70,1.4897791305178,18.0843651262006,19.5741442567184
I_W044,BEL_2021_1,1,20,3,20,20,3,1.75973005468836,18.0843651262006,19.8440951808889
I_W045,BEL_2021_1,1,22,46,20,22,46,1.93360580394443,17.866281227508,19.7998870314524
I_W046,BEL_2021_1,1,22,23,20,22,23,1.47693870122282,18.1120621273465,19.5890008285693
I_W046,BEL_2021_1,1,24,100,20,24,100,1.93969230121624,18.1120621273465,20.0517544285627
I_W049,BEL_2021_1,1,26,50,20,26,50,1.1719955801012,17.9906607508766,19.1626563309778
I_W049,BEL_2021_1,1,26,76,20,26,76,1.51210779079668,17.9906607508766,19.5027685416733
I_W050,BEL_2021_1,1,24,51,20,24,51,1.41333443550065,18.1025123198595,19.5158467553602
I_W050,BEL_2021_1,1,25,109,20,25,109,1.94567367942654,18.1025123198595,20.0481859992861
JoPr_1990_102_001,BEL_2021_1,1,26,87,2,26,87,-13.6360211524285,15.2859360470138,1.64991489458529
JoPr_1990_102_054,BEL_2021_1,1,18,70,20,18,70,2.43951575979956,18.1644191840412,20.6039349438407
JoPr_1990_102_054,BEL_2021_1,1,24,46,20,24,46,1.29303415435415,18.1644191840412,19.4574533383953
JoPr_1990_102_097,BEL_2021_1,1,17,39,20,17,39,2.42618770278299,18.1985818806045,20.6247695833875
JoPr_1990_102_097,BEL_2021_1,1,24,69,20,24,69,1.51249759408471,18.1985818806045,19.7110794746892
JoPr_1990_102_108,BEL_2021_1,1,24,20,20,24,20,1.02733675480697,18.139792754902,19.167129509709
JoPr_1990_102_108,BEL_2021_1,1,18,88,20,18,88,2.55661896432865,18.139792754902,20.6964117192307
JoPr_1990_102_169,BEL_2021_1,1,22,78,20,22,78,2.00278390331469,18.0885868205998,20.0913707239144
JoPr_1990_102_169,BEL_2021_1,1,24,37,20,24,37,1.27219869816784,18.0885868205998,19.3607855187676
JoPr_1990_102_179,BEL_2021_1,1,22,67,1,22,67,-14.2016303246195,15.1921979693068,0.990567644687262
JoPr_1990_102_202,BEL_2021_1,1,25,27,20,25,27,1.01311451211478,18.0408614571272,19.053975969242
JoPr_1990_102_202,BEL_2021_1,1,23,85,20,23,85,1.9738964988837,18.0408614571272,20.0147579560109
JoPr_1990_102_232,BEL_2021_1,1,18,81,20,18,81,2.5360316862817,18.1270748154931,20.6631065017748
JoPr_1990_102_232,BEL_2021_1,1,26,45,20,26,45,0.97118485324857,18.1270748154931,19.0982596687417
JoPr_1990_102_242,BEL_2021_1,1,23,47,20,23,47,1.56135044011653,18.0742607637968,19.6356112039133
JoPr_1990_102_242,BEL_2021_1,1,24,68,20,24,68,1.62718971100546,18.0742607637968,19.7014504748023
JoPr_1990_102_246,BEL_2021_1,1,24,38,12,24,38,-5.78873614722574,17.1556893890647,11.366953241839
JoPr_1990_102_246,BEL_2021_1,1,19,93,20,19,93,3.43467922819817,17.1556893890647,20.5903686172629
JoPr_1990_102_257,BEL_2021_1,1,20,95,20,20,95,2.63242399552141,17.8541039279446,20.4865279234661
JoPr_1990_102_257,BEL_2021_1,1,20,37,17,20,37,-0.772295187201664,17.8541039279446,17.081808740743
Modi,BEL_2021_1,1,25,91,20,25,91,1.42259841255316,18.4017543144113,19.8243527269644
Modi,BEL_2021_1,1,24,115,20,24,115,1.82019350334017,18.4017543144113,20.2219478177515
Modi,BEL_2021_1,1,25,44,20,25,44,0.856880709246433,18.4017543144113,19.2586350236577
Modi,BEL_2021_1,1,20,50,20,20,50,1.76409920397777,18.4017543144113,20.1658535183891
Modi,BEL_2021_1,1,18,61,20,18,61,2.15327638104482,18.4017543144113,20.5550306954561
Modi,BEL_2021_1,1,21,93,20,21,93,1.94058751677266,18.4017543144113,20.3423418311839
Modi,BEL_2021_1,1,17,27,20,17,27,2.17461440501934,18.4017543144113,20.5763687194306
Modi,BEL_2021_1,1,24,5,20,24,5,0.600481682578568,18.4017543144113,19.0022359969899
Modi,BEL_2021_1,1,24,52,20,24,52,1.1171261246819,18.4017543144113,19.5188804390932
Modi,BEL_2021_1,1,22,47,20,22,47,1.40406940699295,18.4017543144113,19.8058237214042
Modi,BEL_2021_1,1,18,33,10,18,33,-7.9831354650649,18.4017543144113,10.4186188493464
Modi,BEL_2021_1,1,24,78,20,24,78,1.4114597598643,18.4017543144113,19.8132140742756
Modi,BEL_2021_1,1,23,69,20,23,69,1.45744244449739,18.4017543144113,19.8591967589087
Modi,BEL_2021_1,1,22,40,9,22,40,-9.65045824176323,18.4017543144113,8.75129607264805
Modi,BEL_2021_1,1,19,91,20,19,91,2.17873071589402,18.4017543144113,20.5804850303053
Modi,BEL_2021_1,1,17,106,20,17,106,2.49664735566005,18.4017543144113,20.8984016700713
NOVADI_0010,BEL_2021_1,1,25,52,20,25,52,1.32754450655483,18.0261450582834,19.3536895648383
NOVADI_0010,BEL_2021_1,1,25,72,20,25,72,1.57066875681238,18.0261450582834,19.5968138150958
NOVADI_0023,BEL_2021_1,1,23,91,20,23,91,1.95926525211753,18.1171315758177,20.0763968279352
NOVADI_0023,BEL_2021_1,1,23,44,20,23,44,1.48795445688969,18.1171315758177,19.6050860327073
NOVADI_0042,BEL_2021_1,1,17,80,20,17,80,2.50066186351407,18.2870472618255,20.7877091253396
NOVADI_0042,BEL_2021_1,1,18,2,20,18,2,1.97181751430682,18.2870472618255,20.2588647761323
NOVADI_0114,BEL_2021_1,1,18,114,20,18,114,2.65933351715307,18.163367992703,20.8227015098561
NOVADI_0114,BEL_2021_1,1,25,41,20,25,41,1.06687358010994,18.163367992703,19.230241572813
NOVADI_0256,BEL_2021_1,1,22,97,8,22,97,-7.96642913859778,16.2255542195782,8.25912508098043
NOVADI_0268,BEL_2021_1,1,17,104,20,17,104,3.95708021721866,16.9307102818824,20.887790499101
NOVADI_0268,BEL_2021_1,1,19,37,9,19,37,-7.66864573559404,16.9307102818824,9.26206454628834
NOVADI_0286,BEL_2021_1,1,18,31,20,18,31,2.09761516365121,18.3087678344526,20.4063829981038
NOVADI_0286,BEL_2021_1,1,18,112,20,18,112,2.50592466904158,18.3087678344526,20.8146925034941
NOVADI_0296,BEL_2021_1,1,18,94,20,18,94,2.85629536985872,17.8653778411266,20.7216732109853
NOVADI_0296,BEL_2021_1,1,21,42,17,21,42,-0.928140537769867,17.8653778411266,16.9372373033567
NOVADI_0329,BEL_2021_1,1,22,99,20,22,99,2.11112274985185,18.1617978090883,20.2729205589401
NOVADI_0329,BEL_2021_1,1,21,21,20,21,21,1.60560996649516,18.1617978090883,19.7674077755834
NOVADI_0330,BEL_2021_1,1,19,58,20,19,58,2.15578180644042,18.2268489476008,20.3826307540412
NOVADI_0330,BEL_2021_1,1,23,101,20,23,101,1.95346504614827,18.2268489476008,20.180313993749
NOVADI_0347,BEL_2021_1,1,23,37,20,23,37,1.33398912991332,18.2070521948188,19.5410413247321
NOVADI_0347,BEL_2021_1,1,17,99,20,17,99,2.65580546563126,18.2070521948188,20.8628576604501
NOVADI_0356,BEL_2021_1,1,20,13,20,20,13,1.77896369845693,18.1315807952248,19.9105444936817
NOVADI_0356,BEL_2021_1,1,23,72,20,23,72,1.75544161567024,18.1315807952248,19.887022410895
NOVADI_0371,BEL_2021_1,1,26,27,20,26,27,0.75217823235803,18.1114986428264,18.8636768751844
NOVADI_0371,BEL_2021_1,1,17,76,20,17,76,2.66105274289076,18.1114986428264,20.7725513857171
NOVADI_0382,BEL_2021_1,1,18,97,20,18,97,2.48455586155442,18.2545535308904,20.7391093924449
NOVADI_0382,BEL_2021_1,1,21,56,20,21,56,1.79185855840565,18.2545535308904,20.0464120892961
NOVADI_0622,BEL_2021_1,1,17,37,3,17,37,-12.4892421352961,16.1118182941909,3.62257615889481
NOVADI_0622,BEL_2021_1,1,25,101,20,25,101,3.83653817455263,16.1118182941909,19.9483564687435
NOVADI_0731,BEL_2021_1,1,21,95,20,21,95,2.25955208310122,18.1049711048283,20.3645231879295
NOVADI_0731,BEL_2021_1,1,26,54,20,26,54,1.11429217274972,18.1049711048283,19.219263277578
NOVADI_0766,BEL_2021_1,1,25,80,20,25,80,1.55045604954416,18.140695736066,19.6911517856102
NOVADI_0766,BEL_2021_1,1,20,52,20,20,52,2.03894819639264,18.140695736066,20.1796439324586
NOVADI_0830,BEL_2021_1,1,19,28,20,19,28,2.02577127508049,18.1817433870855,20.207514662166
NOVADI_0830,BEL_2021_1,1,23,82,20,23,82,1.81131169951625,18.1817433870855,19.9930550866017
NOVADI_0980,BEL_2021_1,1,23,50,20,23,50,1.4788394120491,18.1854155140713,19.6642549261204
NOVADI_0980,BEL_2021_1,1,18,62,20,18,62,2.38040092650692,18.1854155140713,20.5658164405782
NOVADI_1015,BEL_2021_1,1,20,88,20,20,88,2.31135097559732,18.1269906694569,20.4383416450542
NOVADI_1015,BEL_2021_1,1,24,34,20,24,34,1.19535783248509,18.1269906694569,19.322348501942
TeBr_012,BEL_2021_1,1,26,51,20,26,51,1.1274184251828,18.056037924193,19.1834563493758
TeBr_012,BEL_2021_1,1,24,96,20,24,96,1.95116635374278,18.056037924193,20.0072042779358
TeBr_021,BEL_2021_1,1,26,30,4,26,30,-12.5576160832777,15.4646594891747,2.90704340589698
TeBr_022,BEL_2021_1,1,21,83,20,21,83,2.19599122008588,18.0659639236931,20.261955143779
TeBr_022,BEL_2021_1,1,26,38,20,26,38,0.942486363319475,18.0659639236931,19.0084502870126
TeBr_027,BEL_2021_1,1,20,91,20,20,91,2.49512200089009,17.9593409788185,20.4544629797086
TeBr_043,BEL_2021_1,1,18,28,20,18,28,2.10643590368835,18.290373523443,20.3968094271313
TeBr_043,BEL_2021_1,1,19,106,20,19,106,2.38611391003197,18.290373523443,20.676487433475
TeBr_071,BEL_2021_1,1,20,100,20,20,100,2.55107307683563,17.9686137179512,20.5196867947868
TeBr_084,BEL_2021_1,1,17,110,20,17,110,2.88484452420973,18.0239294649522,20.9087739891619
TeBr_180,BEL_2021_1,1,20,69,20,20,69,2.11877164036259,18.1847769694183,20.3035486097809
TeBr_180,BEL_2021_1,1,20,15,20,20,15,1.73661576327762,18.1847769694183,19.921392732696
TeBr_248,BEL_2021_1,1,19,108,2,19,108,-12.7386339395558,15.4346595055952,2.69602556603943
TeBr_263,BEL_2021_1,1,20,58,20,20,58,2.29696527300333,17.926500580059,20.2234658530623
1,BEL_2021_2,2,14,60,8,14,60,-5.19778495224967,12.9573600720591,7.75957511980938
12_205,BEL_2021_2,2,13,24,13,13,24,-0.494123491211683,12.9167025100709,12.4225790188592
12_205,BEL_2021_2,2,14,78,8,14,78,-4.80439302292233,12.9167025100709,8.11230948714856
12_B023,BEL_2021_2,2,12,21,20,12,21,2.4097123343804,17.274093592074,19.6838059264544
12_B023,BEL_2021_2,2,15,96,20,15,96,3.08747035152017,17.274093592074,20.3615639435941
12_B061,BEL_2021_2,2,15,94,4,15,94,-9.33060382161984,13.6878270347264,4.35722321310653
12_B061,BEL_2021_2,2,13,42,20,13,42,5.94259482386038,13.6878270347264,19.6304218585867
12_E003,BEL_2021_2,2,14,100,20,14,100,3.29105721482537,17.2073636381478,20.4984208529731
12_E003,BEL_2021_2,2,14,13,20,14,13,2.04079798573787,17.2073636381478,19.2481616238856
12_E025,BEL_2021_2,2,15,62,20,15,62,3.02456636598897,17.1731873959533,20.1977537619423
12_E025,BEL_2021_2,2,14,35,20,14,35,2.22261513336737,17.1731873959533,19.3958025293207
12_E035,BEL_2021_2,2,14,29,20,14,29,2.07129831395746,17.2786194584179,19.3499177723754
12_E035,BEL_2021_2,2,12,66,20,12,66,3.43709747876546,17.2786194584179,20.7157169371834
12_E039,BEL_2021_2,2,13,6,1,13,6,-12.6658881678733,12.9210847024588,0.255196534585561
12_E039,BEL_2021_2,2,13,82,20,13,82,7.37822879967053,12.9210847024588,20.2993135021293
12_E043,BEL_2021_2,2,15,4,16,15,4,-0.93409312592728,16.261335666057,15.3272425401297
12_E043,BEL_2021_2,2,13,77,20,13,77,3.9221069706633,16.261335666057,20.1834426367203
12_I002,BEL_2021_2,2,12,82,8,12,82,-4.86989720453818,13.8366881922366,8.96679098769839
12_I002,BEL_2021_2,2,15,23,16,15,23,1.85070070233064,13.8366881922366,15.6873888945672
12_I037,BEL_2021_2,2,14,93,20,14,93,3.19967622594174,17.1745751803963,20.374251406338
12_I037,BEL_2021_2,2,14,9,20,14,9,2.0509435930694,17.1745751803963,19.2255187734657
12_I049,BEL_2021_2,2,15,11,20,15,11,3.13956608912896,16.3225056177145,19.4620717068434
12_I056,BEL_2021_2,2,12,43,3,12,43,-10.2784347606024,13.5284272137393,3.24999245313688
12_I056,BEL_2021_2,2,13,69,20,13,69,6.49550309294001,13.5284272137393,20.0239303066793
12_J029,BEL_2021_2,2,14,41,20,14,41,3.13495856216575,16.3206459144634,19.4556044766292
12_J031,BEL_2021_2,2,13,89,20,13,89,4.33050917216929,16.1605825812692,20.4910917534385
12_J031,BEL_2021_2,2,13,37,15,13,37,-1.59211717141619,16.1605825812692,14.568465409853
12_K001,BEL_2021_2,2,13,31,15,13,31,-0.397544355355684,14.8948469527891,14.4973025974334
12_K018,BEL_2021_2,2,14,101,20,14,101,3.26494418589855,17.250435264042,20.5153794499405
12_K018,BEL_2021_2,2,14,38,20,14,38,2.17362356546846,17.250435264042,19.4240588295104
12_K023,BEL_2021_2,2,14,94,20,14,94,3.19416027947965,17.198858797607,20.3930190770866
12_K023,BEL_2021_2,2,14,24,20,14,24,2.1166236657166,17.198858797607,19.3154824633236
12_K049,BEL_2021_2,2,14,79,14,14,79,-0.340591311898958,14.4708398073967,14.1302484954977
12_K049,BEL_2021_2,2,14,31,14,14,31,-1.10745631804861,14.4708398073967,13.3633834893481
12_N021,BEL_2021_2,2,13,11,20,13,11,3.02527442536421,16.2763748885039,19.3016493138681
12_N052,BEL_2021_2,2,15,63,11,15,63,-3.98774744717241,15.1923427531976,11.2045953060252
12_N052,BEL_2021_2,2,14,46,20,14,46,4.3272668793084,15.1923427531976,19.519609632506
12_N062,BEL_2021_2,2,12,46,20,12,46,2.78519102385532,17.5315627373958,20.3167537612511
12_N062,BEL_2021_2,2,12,76,20,12,76,3.34988699755116,17.5315627373958,20.8814497349469
12_O017,BEL_2021_2,2,13,105,20,13,105,3.67586511972733,17.2910449790823,20.9669100988096
12_O017,BEL_2021_2,2,12,39,19,12,39,1.86331564982509,17.2910449790823,19.1543606289074
12_O026,BEL_2021_2,2,12,98,20,12,98,4.67896578999607,16.4646535731357,21.1436193631318
12_O026,BEL_2021_2,2,14,18,16,14,18,-1.18721956836402,16.4646535731357,15.2774340047717
12_O056,BEL_2021_2,2,13,68,20,13,68,2.81601086777162,17.1918480782554,20.007858946027
12_O056,BEL_2021_2,2,13,45,20,13,45,2.47740359741428,17.1918480782554,19.6692516756696
12_O061,BEL_2021_2,2,15,20,20,15,20,3.12005096154892,16.5106096152707,19.6306605768196
12_O061,BEL_2021_2,2,13,106,16,13,106,0.485554126082786,16.5106096152707,16.9961637413535
12_P002,BEL_2021_2,2,14,89,20,14,89,3.74167206692596,16.5655293598047,20.3072014267307
12_P029,BEL_2021_2,2,14,104,14,14,104,-1.30140371201703,15.8729680327484,14.5715643207313
12_P029,BEL_2021_2,2,13,1,20,13,1,3.32721332276878,15.8729680327484,19.2001813555172
12_P055,BEL_2021_2,2,15,19,20,15,19,3.24710205131766,16.3659095912741,19.6130116425917
140,BEL_2021_2,2,12,12,20,12,12,2.24184759963459,17.1937748621048,19.4356224617394
140,BEL_2021_2,2,15,70,20,15,70,3.05634058874284,17.1937748621048,20.2501154508477
149,BEL_2021_2,2,15,75,1,15,75,-7.84807160078484,9.12726992286069,1.27919832207585
149,BEL_2021_2,2,15,2,3,15,2,-6.8389926889425,9.12726992286069,2.28827723391819
152,BEL_2021_2,2,13,86,20,13,86,3.20164437281343,17.2040022297455,20.4056466025589
152,BEL_2021_2,2,12,8,20,12,8,2.12188273570643,17.2040022297455,19.3258849654519
167,BEL_2021_2,2,14,96,16,14,96,3.91930178462131,12.506883662773,16.4261854473943
167,BEL_2021_2,2,13,8,3,13,8,-10.2331692091215,12.506883662773,2.27371445365141
1893,BEL_2021_2,2,12,74,20,12,74,4.13001096149129,16.7222718185024,20.8522827799937
1901,BEL_2021_2,2,12,37,15,12,37,2.02747835780143,13.0789101652273,15.1063885230288
1901,BEL_2021_2,2,12,99,5,12,99,-6.92411562353733,13.0789101652273,6.15479454169
1935,BEL_2021_2,2,12,67,12,12,67,0.170105574852355,12.5624595916845,12.7325651665368
1935,BEL_2021_2,2,14,7,7,14,7,-6.34628028368852,12.5624595916845,6.21617930799595
197,BEL_2021_2,2,13,48,20,13,48,2.32322578685703,17.3854204144811,19.7086462013381
197,BEL_2021_2,2,12,73,20,12,73,3.44977581568087,17.3854204144811,20.8351962301619
1985,BEL_2021_2,2,12,72,20,12,72,4.10523373400201,16.7122711628619,20.8175048968639
1988,BEL_2021_2,2,13,10,7,13,10,-6.24231249923779,12.5357648669854,6.29345236774756
1989,BEL_2021_2,2,14,74,2,14,74,-9.27489503610407,11.3117452035311,2.03685016742705
1991,BEL_2021_2,2,12,14,20,12,14,4.49772752855958,14.9927858309879,19.4905133595475
1991,BEL_2021_2,2,15,89,10,15,89,-4.65262240648134,14.9927858309879,10.3401634245066
2024,BEL_2021_2,2,15,48,20,15,48,2.56916458732102,17.504880964692,20.074045552013
2024,BEL_2021_2,2,12,85,20,12,85,3.49980773303344,17.504880964692,21.0046886977254
2026,BEL_2021_2,2,15,28,20,15,28,2.60452450830525,17.173658824846,19.7781833331513
2026,BEL_2021_2,2,14,63,20,14,63,2.64382498456464,17.173658824846,19.8174838094106
2046,BEL_2021_2,2,13,66,9,13,66,-5.68820923076832,14.6620050046097,8.97379577384137
2046,BEL_2021_2,2,13,19,20,13,19,4.7137849060941,14.6620050046097,19.3757899107038
2055,BEL_2021_2,2,15,61,2,15,61,-9.16441047453356,11.3563392992322,2.19192882469864
2061,BEL_2021_2,2,14,103,13,14,103,-0.345858911695757,13.8993550395698,13.553496127874
2061,BEL_2021_2,2,12,10,12,12,10,-2.51807669680455,13.8993550395698,11.3812783427652
2071,BEL_2021_2,2,15,10,11,15,10,-3.28511176592025,13.7293587106346,10.4442469447144
2443,BEL_2021_2,2,12,19,13,12,19,-0.169922663384801,12.7990350692097,12.6291124058249
2443,BEL_2021_2,2,15,102,7,15,102,-5.42012203200926,12.7990350692097,7.37891303720045
261,BEL_2021_2,2,12,35,20,12,35,6.45962205366481,13.5959774161577,20.0555994698225
261,BEL_2021_2,2,13,90,3,13,90,-10.0751940208812,13.5959774161577,3.52078339527648
2670,BEL_2021_2,2,13,22,20,13,22,2.08398336322733,17.3199966319399,19.4039799951672
2670,BEL_2021_2,2,13,101,20,13,101,3.52692687235466,17.3199966319399,20.8469235042945
270,BEL_2021_2,2,14,30,20,14,30,3.06323973518522,16.2916985557693,19.3549382909546
2732,BEL_2021_2,2,12,92,15,12,92,0.76089544648482,15.3232573128375,16.0841527593223
2732,BEL_2021_2,2,12,42,15,12,42,-0.097027297380329,15.3232573128375,15.2262300154572
2762,BEL_2021_2,2,15,6,20,15,6,3.07248846208748,16.2954315534545,19.367920015542
2779,BEL_2021_2,2,15,97,15,15,97,-0.841363863756396,16.2067381314117,15.3653742676553
2779,BEL_2021_2,2,12,29,20,12,29,3.69410902363006,16.2067381314117,19.9008471550418
2794,BEL_2021_2,2,14,32,1,14,32,-8.40107458558461,8.77204439197524,0.370969806390635
2794,BEL_2021_2,2,12,60,1,12,60,-7.16608238057267,8.77204439197524,1.60596201140257
2802,BEL_2021_2,2,13,20,17,13,20,2.15433933086958,14.2298263209955,16.3841656518651
2802,BEL_2021_2,2,12,87,9,12,87,-4.1995124089059,14.2298263209955,10.0303139120896
2817,BEL_2021_2,2,15,8,20,15,8,2.21991289065944,17.1854640100486,19.405376900708
2817,BEL_2021_2,2,15,69,20,15,69,3.05768466052084,17.1854640100486,20.2431486705694
2827,BEL_2021_2,2,13,33,10,13,33,-4.27125860282076,13.792705957603,9.52144735478222
2827,BEL_2021_2,2,14,69,15,14,69,1.14309346173876,13.792705957603,14.9357994193417
2830,BEL_2021_2,2,13,30,20,13,30,2.2798817083643,17.2051692494454,19.4850509578097
2830,BEL_2021_2,2,13,80,20,13,80,3.04653676184513,17.2051692494454,20.2517060112905
2855,BEL_2021_2,2,15,60,20,15,60,3.65334355777642,16.5298779535435,20.1832215113199
2865,BEL_2021_2,2,12,44,20,12,44,2.82805392868735,17.4444054557681,20.2724593844555
2865,BEL_2021_2,2,14,102,20,14,102,3.09108667102853,17.4444054557681,20.5354921267966
2902,BEL_2021_2,2,15,33,7,15,33,-5.83384030538795,12.700633585699,6.86679328031104
2936,BEL_2021_2,2,12,104,17,12,104,1.48484066632707,16.7165541292717,18.2013947955987
2936,BEL_2021_2,2,13,16,20,13,16,2.63100437526105,16.7165541292717,19.3475585045327
2990,BEL_2021_2,2,15,82,20,15,82,3.11917737470782,17.1916970113458,20.3108743860536
2990,BEL_2021_2,2,13,18,20,13,18,2.17386281309885,17.1916970113458,19.3655598244446
3062,BEL_2021_2,2,15,106,20,15,106,3.79869013105417,16.5885431544226,20.3872332854767
3173,BEL_2021_2,2,12,3,7,12,3,-6.31729886018761,12.5054986568566,6.18819979666903
3190,BEL_2021_2,2,13,21,13,13,21,-3.24440865771796,15.6385946678093,12.3941860100913
3190,BEL_2021_2,2,15,86,20,15,86,4.68954412176924,15.6385946678093,20.3281387895785
321,BEL_2021_2,2,12,64,20,12,64,4.00673715596962,16.6725156914678,20.6792528474374
33,BEL_2021_2,2,13,67,20,13,67,2.73350959022725,17.2559954066892,19.9895049969164
33,BEL_2021_2,2,15,40,20,15,40,2.71883374988059,17.2559954066892,19.9748291565698
333,BEL_2021_2,2,14,19,1,14,19,-9.43537081497253,9.72016536308984,0.284794548117311
333,BEL_2021_2,2,13,104,5,13,104,-3.78275926404731,9.72016536308984,5.93740609904252
