Genotype,Envir,Management,Row,Position,Sample_size,R,P,Sample_size_spats_residuals,Sample_size_spats_geno_pred_values,Sample_size_spats_adj_pheno
12_O017,BEL_2019_1,1,22,4,20,22,4,1.99699522185612,18.2048396584413,20.2018348802974
12_O026,BEL_2019_1,1,26,60,20,26,60,0.664717891835128,17.9984145623629,18.6631324541981
12_O026,BEL_2019_1,1,18,35,20,18,35,1.84107756235885,17.9984145623629,19.8394921247218
12_O056,BEL_2019_1,1,25,95,20,25,95,1.04775929802478,18.1931413005647,19.2409005985895
12_O056,BEL_2019_1,1,17,49,20,17,49,1.69596559630917,18.1931413005647,19.8891068968739
12_O061,BEL_2019_1,1,19,64,20,19,64,1.4487316103052,18.3982781564166,19.8470097667218
12_O061,BEL_2019_1,1,20,43,20,20,43,1.54564246408303,18.3982781564166,19.9439206204996
12_O063,BEL_2019_1,1,24,14,20,24,14,1.30069240694948,18.8802018645082,20.1808942714577
12_O063,BEL_2019_1,1,18,103,20,18,103,2.28252652313387,18.8802018645082,21.1627283876421
12_O072,BEL_2019_1,1,23,66,20,23,66,0.628141672083039,17.9369448986648,18.5650865707479
12_O072,BEL_2019_1,1,21,45,20,21,45,1.80254626064608,17.9369448986648,19.7394911593109
12_O074,BEL_2019_1,1,24,94,20,24,94,1.01442488550887,18.1490690966973,19.1634939822062
12_O074,BEL_2019_1,1,18,45,20,18,45,1.67544980371851,18.1490690966973,19.8245189004158
12_P001,BEL_2019_1,1,20,35,20,20,35,1.67075832734356,18.3640464693421,20.0348047966857
12_P001,BEL_2019_1,1,22,107,20,22,107,1.28178930751256,18.3640464693421,19.6458357768547
12_P002,BEL_2019_1,1,17,94,20,17,94,2.67328654174036,19.0354294666674,21.7087160084078
12_P002,BEL_2019_1,1,19,16,20,19,16,1.09959928677241,19.0354294666674,20.1350287534398
12_P003,BEL_2019_1,1,25,90,20,25,90,1.11003140321266,17.9474698105923,19.0575012138049
12_P003,BEL_2019_1,1,24,31,20,24,31,1.33351653233652,17.9474698105923,19.2809863429288
12_P018,BEL_2019_1,1,25,23,20,25,23,1.39527713518982,18.1035662695612,19.4988434047511
12_P018,BEL_2019_1,1,26,118,20,26,118,1.23899932297153,18.1035662695612,19.3425655925328
12_P025,BEL_2019_1,1,18,95,20,18,95,1.92976063470269,18.8701173611375,20.7998779958401
12_P025,BEL_2019_1,1,18,7,20,18,7,1.64113641157957,18.8701173611375,20.511253772717
12_P027,BEL_2019_1,1,17,73,20,17,73,2.12291764074019,18.8080607952031,20.9309784359433
12_P027,BEL_2019_1,1,20,23,20,20,23,1.37215476981861,18.8080607952031,20.1802155650217
12_P029,BEL_2019_1,1,18,3,20,18,3,2.23060684143726,18.3706760906069,20.6012829320441
12_P029,BEL_2019_1,1,20,74,20,20,74,0.730041283831376,18.3706760906069,19.1007173744382
12_P034,BEL_2019_1,1,26,28,20,26,28,1.18145994377016,17.8316906140642,19.0131505578344
12_P034,BEL_2019_1,1,21,68,20,21,68,1.12062164943608,17.8316906140642,18.9523122635003
12_P055,BEL_2019_1,1,25,69,20,25,69,0.588668128506345,18.0874065490356,18.6760746775419
12_P055,BEL_2019_1,1,20,33,20,20,33,2.02586336143444,18.0874065490356,20.11326991047
12_P056,BEL_2019_1,1,18,18,16,18,18,-0.484309597066652,16.9273235350346,16.4430139379679
12_P056,BEL_2019_1,1,22,85,20,22,85,1.6813783154022,16.9273235350346,18.6087018504368
1218,BEL_2019_1,1,21,65,4,21,65,-7.01517036340726,10.206244677453,3.19107431404574
1236,BEL_2019_1,1,25,116,20,25,116,2.09310293125554,17.6606578357267,19.7537607669823
13_10,BEL_2019_1,1,23,17,11,23,17,-4.31781379873894,15.504845215923,11.1870314171841
13_10,BEL_2019_1,1,26,103,20,26,103,3.77680857200204,15.504845215923,19.2816537879251
13_109,BEL_2019_1,1,19,102,11,19,102,-1.42190802906669,12.7422193194029,11.3203112903362
13_109,BEL_2019_1,1,17,4,9,17,4,-2.49464818232278,12.7422193194029,10.2475711370801
13_139,BEL_2019_1,1,21,44,20,21,44,1.60212513565011,18.2386865781788,19.8408117138289
13_139,BEL_2019_1,1,20,64,20,20,64,1.19724985842778,18.2386865781788,19.4359364366066
13_32,BEL_2019_1,1,25,98,20,25,98,1.11882136735344,18.2161866239847,19.3350079913381
13_32,BEL_2019_1,1,25,15,20,25,15,1.65306176015275,18.2161866239847,19.8692483841374
13_35,BEL_2019_1,1,26,70,14,26,70,-0.401696201052285,13.2947872354193,12.893091034367
13_35,BEL_2019_1,1,22,43,11,22,43,-2.83969759498951,13.2947872354193,10.4550896404298
13_38,BEL_2019_1,1,22,62,20,22,62,1.12385267534318,17.6203643647894,18.7442170401326
13_38,BEL_2019_1,1,26,43,20,26,43,0.920017145606376,17.6203643647894,18.5403815103958
130,BEL_2019_1,1,22,27,20,22,27,2.21451871368454,17.7600272087001,19.9745459223846
131,BEL_2019_1,1,19,90,13,19,90,0.377784382194603,12.4485244766889,12.8263088588835
131,BEL_2019_1,1,17,34,8,17,34,-4.65319552097741,12.4485244766889,7.79532895571151
133,BEL_2019_1,1,20,22,20,20,22,2.35540603411152,17.8753325208321,20.2307385549436
135,BEL_2019_1,1,21,102,20,21,102,1.00202000085386,18.3881065061136,19.3901265069675
135,BEL_2019_1,1,23,25,20,23,25,1.49696582055106,18.3881065061136,19.8850723266647
135,BEL_2019_1,1,22,65,20,22,65,0.482959887550457,18.3881065061136,18.871066393664
1377,BEL_2019_1,1,17,92,20,17,92,3.10962588896804,18.4926028012011,21.6022286901691
140,BEL_2019_1,1,22,32,5,22,32,-6.02939443978529,10.9194133271916,4.89001888740634
140,BEL_2019_1,1,22,92,12,22,92,-0.114381377990252,10.9194133271916,10.8050319492014
1446,BEL_2019_1,1,24,28,14,24,28,-0.900307644661769,14.3406460770769,13.4403384324151
1446,BEL_2019_1,1,20,68,14,20,68,-1.06318969525407,14.3406460770769,13.2774563818228
1448,BEL_2019_1,1,24,23,20,24,23,3.50088826100825,16.275064182972,19.7759524439803
1448,BEL_2019_1,1,19,98,13,19,98,-3.10079125747384,16.275064182972,13.1742729254982
1478,BEL_2019_1,1,22,30,20,22,30,1.16184141038261,18.7325566121578,19.8943980225404
1478,BEL_2019_1,1,19,114,20,19,114,2.24097521565422,18.7325566121578,20.973531827812
